KW;Burgenland;Kärnten;Niederösterreich;Oberösterreich;Salzburg;Steiermark;Tirol;Vorarlberg;Wien;Österreich
1;0;0;0;0;0;0;0;0;4;4
2;0;0;0;0;0;0;0;0;1;1
3;1;0;1;0;0;0;1;0;1;4
4;5;0;3;3;0;1;5;0;9;26
5;2;0;7;0;0;1;17;0;9;36
6;3;0;9;2;2;9;12;1;8;46
7;1;0;11;4;1;3;19;4;3;46
8;1;0;15;5;1;13;7;3;1;46
9;1;0;18;10;3;2;9;5;7;55
10;0;0;11;3;8;6;6;2;3;39
11;0;0;12;5;7;9;1;1;3;38
12;0;0;10;4;1;6;2;3;4;30
13;0;0;1;1;1;0;1;3;0;7
14;0;0;2;3;3;1;1;0;2;12
15;0;0;2;3;0;0;1;1;3;10
16;0;0;0;3;1;0;1;0;1;6
17;0;0;0;0;0;0;0;0;0;0
Summe;14;0;102;46;28;51;83;23;59;406
