country;group;week;zscore
Belgium;Total;2019-21;0.62
Belgium;Total;2019-22;0.18
Belgium;Total;2019-23;0.68
Belgium;Total;2019-24;-0.64
Belgium;Total;2019-25;0.63
Belgium;Total;2019-26;1.45
Belgium;Total;2019-27;1.11
Belgium;Total;2019-28;-0.62
Belgium;Total;2019-29;0.51
Belgium;Total;2019-30;5.46
Belgium;Total;2019-31;0.96
Belgium;Total;2019-32;-0.78
Belgium;Total;2019-33;-0.66
Belgium;Total;2019-34;0.19
Belgium;Total;2019-35;2.07
Belgium;Total;2019-36;-0.09
Belgium;Total;2019-37;-0.45
Belgium;Total;2019-38;0.29
Belgium;Total;2019-39;-0.14
Belgium;Total;2019-40;1.5
Belgium;Total;2019-41;0.08
Belgium;Total;2019-42;0.13
Belgium;Total;2019-43;1.19
Belgium;Total;2019-44;-0.79
Belgium;Total;2019-45;-0.13
Belgium;Total;2019-46;-0.38
Belgium;Total;2019-47;1.33
Belgium;Total;2019-48;0.46
Belgium;Total;2019-49;0.48
Belgium;Total;2019-50;1.09
Belgium;Total;2019-51;2.1
Belgium;Total;2019-52;0.03
Belgium;Total;2020-01;0.78
Belgium;Total;2020-02;2.38
Belgium;Total;2020-03;1.37
Belgium;Total;2020-04;0.26
Belgium;Total;2020-05;1.82
Belgium;Total;2020-06;-0.09
Belgium;Total;2020-07;1.33
Belgium;Total;2020-08;1.2
Belgium;Total;2020-09;0.61
Belgium;Total;2020-10;0.49
Belgium;Total;2020-11;1.08
Belgium;Total;2020-12;4.52
Belgium;Total;2020-13;10.98
Belgium;Total;2020-14;19.02
Belgium;Total;2020-15;21.84
Belgium;Total;2020-16;16.78
Belgium;Total;2020-17;10.8
Belgium;Total;2020-18;4.25
Belgium;Total;2020-19;4.46
Belgium;Total;2020-20;0.87
Belgium;Total;2020-21;1.61
Belgium;Total;2020-22;0.48
Belgium;Total;2020-23;-1.64
Belgium;Total;2020-24;-0.15
Belgium;Total;2020-25;-0.84
Belgium;Total;2020-26;1
Belgium;Total;2020-27;-1.38
Belgium;Total;2020-28;-2.38
Belgium;Total;2020-29;-0.1
Belgium;Total;2020-30;-0.6
Belgium;Total;2020-31;1.05
Belgium;Total;2020-32;2.11
Belgium;Total;2020-33;11.09
Belgium;Total;2020-34;3.91
Belgium;Total;2020-35;-0.03
Belgium;Total;2020-36;-0.03
Belgium;Total;2020-37;-0.81
Belgium;Total;2020-38;1
Belgium;Total;2020-39;-0.16
Belgium;Total;2020-40;-0.07
Belgium;Total;2020-41;1.07
Belgium;Total;2020-42;1.83
Belgium;Total;2020-43;6.9
Belgium;Total;2020-44;13.24
Belgium;Total;2020-45;16.81
Belgium;Total;2020-46;14
Belgium;Total;2020-47;11.27
Belgium;Total;2020-48;8.32
Belgium;Total;2020-49;5.82
Belgium;Total;2020-50;6.53
Belgium;Total;2020-51;5.74
Belgium;Total;2020-52;4.37
Belgium;Total;2020-53;2.67
Belgium;Total;2021-01;2.75
Belgium;Total;2021-02;1.99
Belgium;Total;2021-03;2.27
Belgium;Total;2021-04;2.03
Belgium;Total;2021-05;0.79
Belgium;Total;2021-06;0.17
Belgium;Total;2021-07;1.17
Belgium;Total;2021-08;-0.5
Belgium;Total;2021-09;-1.65
Belgium;Total;2021-10;-0.05
Belgium;Total;2021-11;-0.58
Belgium;Total;2021-12;-0.28
Belgium;Total;2021-13;1.26
Belgium;Total;2021-14;1.2
Belgium;Total;2021-15;0.97
Belgium;Total;2021-16;1.81
Belgium;Total;2021-17;1.95
Belgium;Total;2021-18;2.74
Belgium;Total;2021-19;0.79
Belgium;Total;2021-20;0.53
Belgium;Total;2021-21;0.43
Belgium;Total;2021-22;0.73
Belgium;Total;2021-23;-0.43
Belgium;Total;2021-24;0.52
Belgium;Total;2021-25;-1.23
Belgium;Total;2021-26;0.56
Belgium;Total;2021-27;-0.29
Belgium;Total;2021-28;0.5
Belgium;Total;2021-29;1.84
Belgium;Total;2021-30;0.38
Belgium;Total;2021-31;0.34
Belgium;Total;2021-32;0.56
Belgium;Total;2021-33;-0.26
Belgium;Total;2021-34;-0.14
Belgium;Total;2021-35;0.77
Belgium;Total;2021-36;1.55
Belgium;Total;2021-37;-0.12
Belgium;Total;2021-38;-0.39
Belgium;Total;2021-39;0.07
Belgium;Total;2021-40;1.02
Belgium;Total;2021-41;2.76
Belgium;Total;2021-42;3.81
Belgium;Total;2021-43;3.37
Belgium;Total;2021-44;2.59
Belgium;Total;2021-45;3.44
Belgium;Total;2021-46;3.31
Belgium;Total;2021-47;4.11
Belgium;Total;2021-48;6.18
Belgium;Total;2021-49;4.64
Belgium;Total;2021-50;3.73
Belgium;Total;2021-51;2.88
Belgium;Total;2021-52;2.68
Belgium;Total;2022-01;1.66
Belgium;Total;2022-02;0.24
Belgium;Total;2022-03;1.56
Belgium;Total;2022-04;3.05
Belgium;Total;2022-05;4.01
Belgium;Total;2022-06;3.28
Belgium;Total;2022-07;2.33
Belgium;Total;2022-08;1.07
Belgium;Total;2022-09;-0.28
Belgium;Total;2022-10;2.32
Belgium;Total;2022-11;2.26
Belgium;Total;2022-12;2.31
Belgium;Total;2022-13;3.73
Belgium;Total;2022-14;4.41
Belgium;Total;2022-15;3.75
Belgium;Total;2022-16;2.79
Belgium;Total;2022-17;1.66
Belgium;Total;2022-18;2.45
Belgium;Total;2022-19;0.58
Belgium;Total;2022-20;1.27
Belgium;Total;2022-21;-0.53
Belgium;Total;2022-22;1.04
Belgium;Total;2022-23;0.09
Belgium;Total;2022-24;2.21
Belgium;Total;2022-25;1.37
Belgium;Total;2022-26;0.73
Belgium;Total;2022-27;1.7
Belgium;Total;2022-28;2.13
Belgium;Total;2022-29;3.03
Belgium;Total;2022-30;1.71
Belgium;Total;2022-31;2.09
Belgium;Total;2022-32;3.02
Belgium;Total;2022-33;2.63
Belgium;Total;2022-34;2.14
Belgium;Total;2022-35;1.01
Belgium;Total;2022-36;1.11
Belgium;Total;2022-37;-0.18
Belgium;Total;2022-38;1.16
Belgium;Total;2022-39;1.7
Belgium;Total;2022-40;2.79
Belgium;Total;2022-41;2.56
Belgium;Total;2022-42;2.2
Belgium;Total;2022-43;1.56
Belgium;Total;2022-44;-0.34
Belgium;Total;2022-45;-0.16
Belgium;Total;2022-46;0.06
Belgium;Total;2022-47;1.02
Belgium;Total;2022-48;1.22
Belgium;Total;2022-49;3.48
Belgium;Total;2022-50;4.31
Belgium;Total;2022-51;7.65
Belgium;Total;2022-52;5.96
Belgium;Total;2023-01;5.03
Belgium;Total;2023-02;3.73
Belgium;Total;2023-03;0.74
Belgium;Total;2023-04;0.05
Belgium;Total;2023-05;-12.52
Cyprus;Total;2017-07;3.11
Cyprus;Total;2017-08;1.3
Cyprus;Total;2017-09;1.21
Cyprus;Total;2017-10;1.08
Cyprus;Total;2017-11;-0.4
Cyprus;Total;2017-12;2.22
Cyprus;Total;2017-13;-0.84
Cyprus;Total;2017-14;1.07
Cyprus;Total;2017-15;-0.79
Cyprus;Total;2017-16;0.96
Cyprus;Total;2017-17;0.65
Cyprus;Total;2017-18;-0.16
Cyprus;Total;2017-19;0.3
Cyprus;Total;2017-20;-0.8
Cyprus;Total;2017-21;0.98
Cyprus;Total;2017-22;0.46
Cyprus;Total;2017-23;0.67
Cyprus;Total;2017-24;-1.24
Cyprus;Total;2017-25;-0.45
Cyprus;Total;2017-26;0.65
Cyprus;Total;2017-27;1.21
Cyprus;Total;2017-28;3.29
Cyprus;Total;2017-29;-0.42
Cyprus;Total;2017-30;0.38
Cyprus;Total;2017-31;-0.45
Cyprus;Total;2017-32;0.89
Cyprus;Total;2017-33;-0.9
Cyprus;Total;2017-34;-0.41
Cyprus;Total;2017-35;-0.28
Cyprus;Total;2017-36;-1.57
Cyprus;Total;2017-37;1.17
Cyprus;Total;2017-38;-1.92
Cyprus;Total;2017-39;1.22
Cyprus;Total;2017-40;0.29
Cyprus;Total;2017-41;1.53
Cyprus;Total;2017-42;0.11
Cyprus;Total;2017-43;-0.86
Cyprus;Total;2017-44;-0.42
Cyprus;Total;2017-45;-1.13
Cyprus;Total;2017-46;0.39
Cyprus;Total;2017-47;-0.68
Cyprus;Total;2017-48;-0.97
Cyprus;Total;2017-49;1.32
Cyprus;Total;2017-50;-0.6
Cyprus;Total;2017-51;0.07
Cyprus;Total;2017-52;-0.52
Cyprus;Total;2018-01;-0.05
Cyprus;Total;2018-02;-0.54
Cyprus;Total;2018-03;-1.3
Cyprus;Total;2018-04;-0.04
Cyprus;Total;2018-05;1.17
Cyprus;Total;2018-06;2.36
Cyprus;Total;2018-07;-1.4
Cyprus;Total;2018-08;1.84
Cyprus;Total;2018-09;0.85
Cyprus;Total;2018-10;0.16
Cyprus;Total;2018-11;-1.06
Cyprus;Total;2018-12;0.17
Cyprus;Total;2018-13;-0.83
Cyprus;Total;2018-14;-0.13
Cyprus;Total;2018-15;0.51
Cyprus;Total;2018-16;0.49
Cyprus;Total;2018-17;0.48
Cyprus;Total;2018-18;0.39
Cyprus;Total;2018-19;-1.07
Cyprus;Total;2018-20;-1.95
Cyprus;Total;2018-21;0.34
Cyprus;Total;2018-22;-0.83
Cyprus;Total;2018-23;-0.96
Cyprus;Total;2018-24;-1.7
Cyprus;Total;2018-25;0.5
Cyprus;Total;2018-26;-0.72
Cyprus;Total;2018-27;0.03
Cyprus;Total;2018-28;-0.24
Cyprus;Total;2018-29;0.8
Cyprus;Total;2018-30;0.51
Cyprus;Total;2018-31;0.45
Cyprus;Total;2018-32;-0.2
Cyprus;Total;2018-33;0.12
Cyprus;Total;2018-34;0.75
Cyprus;Total;2018-35;1.82
Cyprus;Total;2018-36;-0.94
Cyprus;Total;2018-37;0.66
Cyprus;Total;2018-38;0.89
Cyprus;Total;2018-39;-0.11
Cyprus;Total;2018-40;0.84
Cyprus;Total;2018-41;-0.26
Cyprus;Total;2018-42;0.49
Cyprus;Total;2018-43;-1.11
Cyprus;Total;2018-44;0.12
Cyprus;Total;2018-45;-0.03
Cyprus;Total;2018-46;0.13
Cyprus;Total;2018-47;-1.56
Cyprus;Total;2018-48;-0.09
Cyprus;Total;2018-49;-0.81
Cyprus;Total;2018-50;-0.42
Cyprus;Total;2018-51;0.02
Cyprus;Total;2018-52;-0.77
Cyprus;Total;2019-01;0.75
Cyprus;Total;2019-02;2.18
Cyprus;Total;2019-03;1.79
Cyprus;Total;2019-04;1.61
Cyprus;Total;2019-05;1.64
Cyprus;Total;2019-06;1.99
Cyprus;Total;2019-07;0.68
Cyprus;Total;2019-08;0.31
Cyprus;Total;2019-09;0.68
Cyprus;Total;2019-10;-0.07
Cyprus;Total;2019-11;0.4
Cyprus;Total;2019-12;-0.84
Cyprus;Total;2019-13;0.17
Cyprus;Total;2019-14;-0.59
Cyprus;Total;2019-15;-1.08
Cyprus;Total;2019-16;0.61
Cyprus;Total;2019-17;0.38
Cyprus;Total;2019-18;1.48
Cyprus;Total;2019-19;-1.37
Cyprus;Total;2019-20;0.04
Cyprus;Total;2019-21;1.11
Cyprus;Total;2019-22;2.07
Cyprus;Total;2019-23;-1.25
Cyprus;Total;2019-24;-0.47
Cyprus;Total;2019-25;0.75
Cyprus;Total;2019-26;-0.26
Cyprus;Total;2019-27;1.47
Cyprus;Total;2019-28;2.52
Cyprus;Total;2019-29;-0.71
Cyprus;Total;2019-30;-2.48
Cyprus;Total;2019-31;0.18
Cyprus;Total;2019-32;1.83
Cyprus;Total;2019-33;-1.32
Cyprus;Total;2019-34;1.34
Cyprus;Total;2019-35;1.22
Cyprus;Total;2019-36;0.22
Cyprus;Total;2019-37;0.47
Cyprus;Total;2019-38;-1.01
Cyprus;Total;2019-39;-0.45
Cyprus;Total;2019-40;0.49
Cyprus;Total;2019-41;0.6
Cyprus;Total;2019-42;-0.49
Cyprus;Total;2019-43;-0.71
Cyprus;Total;2019-44;-0.77
Cyprus;Total;2019-45;-1.06
Cyprus;Total;2019-46;0.02
Cyprus;Total;2019-47;-1.72
Cyprus;Total;2019-48;0.72
Cyprus;Total;2019-49;-0.34
Cyprus;Total;2019-50;-0.46
Cyprus;Total;2019-51;1.93
Cyprus;Total;2019-52;-1.16
Cyprus;Total;2020-01;1.18
Cyprus;Total;2020-02;1.27
Cyprus;Total;2020-03;1.62
Cyprus;Total;2020-04;1.19
Cyprus;Total;2020-05;1.57
Cyprus;Total;2020-06;0.77
Cyprus;Total;2020-07;-1.76
Cyprus;Total;2020-08;0.59
Cyprus;Total;2020-09;0.18
Cyprus;Total;2020-10;-1.37
Cyprus;Total;2020-11;-0.43
Cyprus;Total;2020-12;0.24
Cyprus;Total;2020-13;0.27
Cyprus;Total;2020-14;0.24
Cyprus;Total;2020-15;-1.82
Cyprus;Total;2020-16;-0.51
Cyprus;Total;2020-17;-0.91
Cyprus;Total;2020-18;-0.47
Cyprus;Total;2020-19;-1.18
Cyprus;Total;2020-20;1.14
Cyprus;Total;2020-21;4.55
Cyprus;Total;2020-22;-0.93
Cyprus;Total;2020-23;0.51
Cyprus;Total;2020-24;-1.91
Cyprus;Total;2020-25;-0.97
Cyprus;Total;2020-26;-0.55
Cyprus;Total;2020-27;0.09
Cyprus;Total;2020-28;0.08
Cyprus;Total;2020-29;-0.33
Cyprus;Total;2020-30;0.34
Cyprus;Total;2020-31;0.21
Cyprus;Total;2020-32;-1.81
Cyprus;Total;2020-33;-0.98
Cyprus;Total;2020-34;-0.19
Cyprus;Total;2020-35;-0.07
Cyprus;Total;2020-36;-1.35
Cyprus;Total;2020-37;0.82
Cyprus;Total;2020-38;-1.01
Cyprus;Total;2020-39;-0.78
Cyprus;Total;2020-40;-0.25
