Gruppe;Datum;Genkopien pro EW / Tag * 10^6
Vorarlberg;2022-09-01;83.37
Vorarlberg;2022-09-02;84.45
Vorarlberg;2022-09-03;85.31
Vorarlberg;2022-09-04;82.22
Vorarlberg;2022-09-05;83.07
Vorarlberg;2022-09-06;84.07
Vorarlberg;2022-09-07;85.34
Vorarlberg;2022-09-08;86.84
Vorarlberg;2022-09-09;88.56
Vorarlberg;2022-09-10;90.57
Vorarlberg;2022-09-11;92.94
Vorarlberg;2022-09-12;95.82
Vorarlberg;2022-09-13;99.31
Vorarlberg;2022-09-14;103.46
Vorarlberg;2022-09-15;108.12
Vorarlberg;2022-09-16;113.2
Vorarlberg;2022-09-17;118.41
Vorarlberg;2022-09-18;123.64
Vorarlberg;2022-09-19;128.82
Vorarlberg;2022-09-20;133.96
Vorarlberg;2022-09-21;139.08
Vorarlberg;2022-09-22;144.3
Vorarlberg;2022-09-23;149.71
Vorarlberg;2022-09-24;155.41
Vorarlberg;2022-09-25;161.6
Vorarlberg;2022-09-26;168.32
Vorarlberg;2022-09-27;175.71
Vorarlberg;2022-09-28;183.63
Vorarlberg;2022-09-29;191.81
Vorarlberg;2022-09-30;199.9
Vorarlberg;2022-10-01;207.51
Vorarlberg;2022-10-02;214.21
Vorarlberg;2022-10-03;219.76
Vorarlberg;2022-10-04;224.13
Vorarlberg;2022-10-05;227.35
Vorarlberg;2022-10-06;229.28
Vorarlberg;2022-10-07;229.94
Vorarlberg;2022-10-08;229.15
Vorarlberg;2022-10-09;226.72
Vorarlberg;2022-10-10;222.63
Vorarlberg;2022-10-11;217.08
Vorarlberg;2022-10-12;210.44
Vorarlberg;2022-10-13;202.98
Vorarlberg;2022-10-14;195.03
Vorarlberg;2022-10-15;186.73
Vorarlberg;2022-10-16;178.27
Vorarlberg;2022-10-17;169.81
Vorarlberg;2022-10-18;161.54
Vorarlberg;2022-10-19;153.49
Vorarlberg;2022-10-20;145.76
Vorarlberg;2022-10-21;138.26
Vorarlberg;2022-10-22;131.08
Vorarlberg;2022-10-23;124.3
Vorarlberg;2022-10-24;117.97
Vorarlberg;2022-10-25;112.16
Vorarlberg;2022-10-26;106.86
Vorarlberg;2022-10-27;101.99
Vorarlberg;2022-10-28;97.45
Vorarlberg;2022-10-29;93.24
Vorarlberg;2022-10-30;89.34
Vorarlberg;2022-10-31;85.75
Vorarlberg;2022-11-01;82.52
Vorarlberg;2022-11-02;79.7
Vorarlberg;2022-11-03;77.25
Vorarlberg;2022-11-04;75.29
Vorarlberg;2022-11-05;73.79
Vorarlberg;2022-11-06;72.84
Vorarlberg;2022-11-07;72.65
Vorarlberg;2022-11-08;73.2
Vorarlberg;2022-11-09;74.56
Vorarlberg;2022-11-10;76.6
Vorarlberg;2022-11-11;79.19
Vorarlberg;2022-11-12;82.23
Vorarlberg;2022-11-13;85.61
Vorarlberg;2022-11-14;89.35
Vorarlberg;2022-11-15;93.43
Vorarlberg;2022-11-16;97.77
Vorarlberg;2022-11-17;102.22
Vorarlberg;2022-11-18;106.73
Vorarlberg;2022-11-19;111.19
Vorarlberg;2022-11-20;115.58
Vorarlberg;2022-11-21;119.91
Vorarlberg;2022-11-22;124.25
Vorarlberg;2022-11-23;128.55
Vorarlberg;2022-11-24;132.9
Vorarlberg;2022-11-25;137.24
Vorarlberg;2022-11-26;141.58
Vorarlberg;2022-11-27;145.88
Vorarlberg;2022-11-28;150.01
Vorarlberg;2022-11-29;153.94
Vorarlberg;2022-11-30;157.47
Vorarlberg;2022-12-01;160.54
Vorarlberg;2022-12-02;163.29
Vorarlberg;2022-12-03;165.78
Vorarlberg;2022-12-04;168.25
Vorarlberg;2022-12-05;170.75
Vorarlberg;2022-12-06;173.38
Vorarlberg;2022-12-07;176.22
Vorarlberg;2022-12-08;179.06
Vorarlberg;2022-12-09;181.84
Vorarlberg;2022-12-10;184.36
Vorarlberg;2022-12-11;186.45
Vorarlberg;2022-12-12;188.19
Vorarlberg;2022-12-13;189.66
Vorarlberg;2022-12-14;191.15
Vorarlberg;2022-12-15;192.79
Vorarlberg;2022-12-16;194.55
Vorarlberg;2022-12-17;196.3
Vorarlberg;2022-12-18;197.84
Vorarlberg;2022-12-19;199.02
Vorarlberg;2022-12-20;199.55
Vorarlberg;2022-12-21;199.22
Vorarlberg;2022-12-22;198.0
Vorarlberg;2022-12-23;195.97
Vorarlberg;2022-12-24;193.27
Vorarlberg;2022-12-25;189.93
Vorarlberg;2022-12-26;185.99
Vorarlberg;2022-12-27;181.41
Vorarlberg;2022-12-28;176.28
Vorarlberg;2022-12-29;170.71
Vorarlberg;2022-12-30;164.72
Vorarlberg;2022-12-31;158.48
Vorarlberg;2023-01-01;151.96
Vorarlberg;2023-01-02;145.32
Vorarlberg;2023-01-03;138.71
Vorarlberg;2023-01-04;132.26
Vorarlberg;2023-01-05;126.13
Vorarlberg;2023-01-06;120.36
Vorarlberg;2023-01-07;115.0
Vorarlberg;2023-01-08;110.18
Vorarlberg;2023-01-09;105.96
Vorarlberg;2023-01-10;102.35
Vorarlberg;2023-01-11;99.2
Vorarlberg;2023-01-12;96.46
Vorarlberg;2023-01-13;94.09
Vorarlberg;2023-01-14;92.17
Vorarlberg;2023-01-15;90.8
Vorarlberg;2023-01-16;90.06
Vorarlberg;2023-01-17;90.01
Vorarlberg;2023-01-18;90.65
Vorarlberg;2023-01-19;91.9
Vorarlberg;2023-01-20;93.62
Vorarlberg;2023-01-21;95.85
Vorarlberg;2023-01-22;98.58
Vorarlberg;2023-01-23;101.95
Vorarlberg;2023-01-24;106.03
Vorarlberg;2023-01-25;110.82
Vorarlberg;2023-01-26;116.31
Vorarlberg;2023-01-27;122.35
Vorarlberg;2023-01-28;128.98
Vorarlberg;2023-01-29;136.27
Vorarlberg;2023-01-30;144.28
Vorarlberg;2023-01-31;153.08
Vorarlberg;2023-02-01;162.58
Vorarlberg;2023-02-02;172.6
Vorarlberg;2023-02-03;182.87
Vorarlberg;2023-02-04;193.13
Vorarlberg;2023-02-05;203.11
Vorarlberg;2023-02-06;212.64
Vorarlberg;2023-02-07;221.42
Vorarlberg;2023-02-08;229.46
Vorarlberg;2023-02-09;236.61
Vorarlberg;2023-02-10;242.98
Vorarlberg;2023-02-11;248.87
Vorarlberg;2023-02-12;254.26
Vorarlberg;2023-02-13;259.19
Vorarlberg;2023-02-14;263.4
Vorarlberg;2023-02-15;266.68
Vorarlberg;2023-02-16;268.93
Vorarlberg;2023-02-17;270.31
Vorarlberg;2023-02-18;271.12
Vorarlberg;2023-02-19;271.8
Vorarlberg;2023-02-20;272.6
Vorarlberg;2023-02-21;273.81
Vorarlberg;2023-02-22;275.37
Vorarlberg;2023-02-23;277.09
Vorarlberg;2023-02-24;278.48
Vorarlberg;2023-02-25;279.21
Vorarlberg;2023-02-26;278.89
Vorarlberg;2023-02-27;277.32
Vorarlberg;2023-02-28;274.45
Vorarlberg;2023-03-01;270.47
Vorarlberg;2023-03-02;265.55
Vorarlberg;2023-03-03;260.07
Vorarlberg;2023-03-04;254.4
Vorarlberg;2023-03-05;248.87
Vorarlberg;2023-03-06;243.84
Vorarlberg;2023-03-07;239.43
Vorarlberg;2023-03-08;235.62
Vorarlberg;2023-03-09;232.18
Vorarlberg;2023-03-10;228.8
Vorarlberg;2023-03-11;225.19
Vorarlberg;2023-03-12;221.05
Vorarlberg;2023-03-13;216.21
Vorarlberg;2023-03-14;210.47
Vorarlberg;2023-03-15;203.98
Vorarlberg;2023-03-16;196.98
Vorarlberg;2023-03-17;189.74
Vorarlberg;2023-03-18;182.43
Vorarlberg;2023-03-19;175.28
Vorarlberg;2023-03-20;168.22
Vorarlberg;2023-03-21;161.23
Vorarlberg;2023-03-22;154.08
Vorarlberg;2023-03-23;146.65
Vorarlberg;2023-03-24;138.99
Vorarlberg;2023-03-25;131.3
Vorarlberg;2023-03-26;123.81
Vorarlberg;2023-03-27;116.84
Vorarlberg;2023-03-28;110.52
Vorarlberg;2023-03-29;104.92
Vorarlberg;2023-03-30;99.94
Vorarlberg;2023-03-31;95.53
Vorarlberg;2023-04-01;91.58
Vorarlberg;2023-04-02;88.09
Vorarlberg;2023-04-03;85.11
Vorarlberg;2023-04-04;82.52
Vorarlberg;2023-04-05;80.19
Vorarlberg;2023-04-06;77.97
Vorarlberg;2023-04-07;75.8
Vorarlberg;2023-04-08;73.61
Vorarlberg;2023-04-09;71.34
Vorarlberg;2023-04-10;69.0
Vorarlberg;2023-04-11;66.47
Vorarlberg;2023-04-12;63.71
Vorarlberg;2023-04-13;60.77
Vorarlberg;2023-04-14;57.75
Vorarlberg;2023-04-15;54.72
Vorarlberg;2023-04-16;51.91
Vorarlberg;2023-04-17;49.36
Vorarlberg;2023-04-18;47.11
Vorarlberg;2023-04-19;45.16
Vorarlberg;2023-04-20;43.42
Vorarlberg;2023-04-21;41.76
Vorarlberg;2023-04-22;40.21
Vorarlberg;2023-04-23;38.71
Vorarlberg;2023-04-24;37.35
Vorarlberg;2023-04-25;35.96
Vorarlberg;2023-04-26;34.61
Vorarlberg;2023-04-27;33.16
Vorarlberg;2023-04-28;31.73
Vorarlberg;2023-04-29;30.27
Vorarlberg;2023-04-30;28.85
Vorarlberg;2023-05-01;27.55
Vorarlberg;2023-05-02;26.33
Vorarlberg;2023-05-03;25.32
Vorarlberg;2023-05-04;24.45
Vorarlberg;2023-05-05;23.73
Vorarlberg;2023-05-06;23.18
Vorarlberg;2023-05-07;22.79
Vorarlberg;2023-05-08;22.56
Vorarlberg;2023-05-09;22.46
Vorarlberg;2023-05-10;22.54
Vorarlberg;2023-05-11;22.67
Vorarlberg;2023-05-12;22.99
Vorarlberg;2023-05-13;23.31
Vorarlberg;2023-05-14;23.75
Vorarlberg;2023-05-15;24.24
Vorarlberg;2023-05-16;24.79
Vorarlberg;2023-05-17;25.32
Vorarlberg;2023-05-18;25.81
Vorarlberg;2023-05-19;26.24
Vorarlberg;2023-05-20;26.44
Vorarlberg;2023-05-21;26.45
Vorarlberg;2023-05-22;26.17
Vorarlberg;2023-05-23;25.63
Vorarlberg;2023-05-24;24.82
Vorarlberg;2023-05-25;23.89
Vorarlberg;2023-05-26;22.9
Vorarlberg;2023-05-27;21.83
Vorarlberg;2023-05-28;20.71
Vorarlberg;2023-05-29;19.57
Vorarlberg;2023-05-30;18.42
Vorarlberg;2023-05-31;17.31
Vorarlberg;2023-06-01;16.24
Vorarlberg;2023-06-02;15.18
Vorarlberg;2023-06-03;14.2
Vorarlberg;2023-06-04;13.22
Vorarlberg;2023-06-05;12.34
Vorarlberg;2023-06-06;11.55
Vorarlberg;2023-06-07;10.81
Vorarlberg;2023-06-08;10.12
Vorarlberg;2023-06-09;9.47
Vorarlberg;2023-06-10;8.87
Vorarlberg;2023-06-11;8.35
Vorarlberg;2023-06-12;7.87
Vorarlberg;2023-06-13;7.43
Vorarlberg;2023-06-14;7.09
Vorarlberg;2023-06-15;6.77
Vorarlberg;2023-06-16;6.47
Vorarlberg;2023-06-17;6.18
Vorarlberg;2023-06-18;5.92
Vorarlberg;2023-06-19;5.64
Vorarlberg;2023-06-20;5.38
Vorarlberg;2023-06-21;5.1
Vorarlberg;2023-06-22;4.81
Vorarlberg;2023-06-23;4.57
Vorarlberg;2023-06-24;4.37
Vorarlberg;2023-06-25;4.21
Vorarlberg;2023-06-26;4.07
Vorarlberg;2023-06-27;4.01
Vorarlberg;2023-06-28;4.03
Vorarlberg;2023-06-29;4.06
Vorarlberg;2023-06-30;4.21
Vorarlberg;2023-07-01;4.35
Vorarlberg;2023-07-02;4.55
Vorarlberg;2023-07-03;4.8
Vorarlberg;2023-07-04;5.07
Vorarlberg;2023-07-05;5.39
Vorarlberg;2023-07-06;5.74
Vorarlberg;2023-07-07;6.12
Vorarlberg;2023-07-08;6.49
Vorarlberg;2023-07-09;6.86
Vorarlberg;2023-07-10;7.2
Vorarlberg;2023-07-11;7.54
Vorarlberg;2023-07-12;7.8
Vorarlberg;2023-07-13;7.98
Vorarlberg;2023-07-14;8.13
Vorarlberg;2023-07-15;8.22
Vorarlberg;2023-07-16;8.41
Vorarlberg;2023-07-17;8.65
Vorarlberg;2023-07-18;9.03
Vorarlberg;2023-07-19;9.49
Vorarlberg;2023-07-20;10.1
Vorarlberg;2023-07-21;10.79
Vorarlberg;2023-07-22;11.64
Vorarlberg;2023-07-23;12.61
Vorarlberg;2023-07-24;13.74
Vorarlberg;2023-07-25;14.99
Vorarlberg;2023-07-26;16.44
Vorarlberg;2023-07-27;18.01
Vorarlberg;2023-07-28;19.68
Vorarlberg;2023-07-29;21.49
Vorarlberg;2023-07-30;23.4
Vorarlberg;2023-07-31;25.47
Vorarlberg;2023-08-01;27.67
Vorarlberg;2023-08-02;29.94
Vorarlberg;2023-08-03;32.26
Vorarlberg;2023-08-04;34.56
Vorarlberg;2023-08-05;36.9
Vorarlberg;2023-08-06;39.2
Vorarlberg;2023-08-07;41.49
Vorarlberg;2023-08-08;43.68
Vorarlberg;2023-08-09;45.76
Vorarlberg;2023-08-10;47.56
Vorarlberg;2023-08-11;49.05
Vorarlberg;2023-08-12;50.22
Vorarlberg;2023-08-13;51.01
Vorarlberg;2023-08-14;51.41
Vorarlberg;2023-08-15;51.37
Vorarlberg;2023-08-16;50.97
Vorarlberg;2023-08-17;50.21
Vorarlberg;2023-08-18;49.19
Vorarlberg;2023-08-19;48.03
Vorarlberg;2023-08-20;46.86
Vorarlberg;2023-08-21;45.73
Vorarlberg;2023-08-22;44.69
Vorarlberg;2023-08-23;43.68
Vorarlberg;2023-08-24;42.86
Vorarlberg;2023-08-25;42.19
Vorarlberg;2023-08-26;41.77
Vorarlberg;2023-08-27;41.75
Vorarlberg;2023-08-28;42.17
Vorarlberg;2023-08-29;43.17
Vorarlberg;2023-08-30;44.65
Vorarlberg;2023-08-31;46.52
Vorarlberg;2023-09-01;48.61
Vorarlberg;2023-09-02;50.72
Vorarlberg;2023-09-03;52.63
Tirol;2022-09-01;78.47
Tirol;2022-09-02;78.22
Tirol;2022-09-03;78.24
Tirol;2022-09-04;78.76
Tirol;2022-09-05;79.85
Tirol;2022-09-06;81.59
Tirol;2022-09-07;83.91
Tirol;2022-09-08;86.7
Tirol;2022-09-09;89.82
Tirol;2022-09-10;93.13
Tirol;2022-09-11;96.54
Tirol;2022-09-12;100.04
Tirol;2022-09-13;103.64
Tirol;2022-09-14;107.44
Tirol;2022-09-15;111.48
Tirol;2022-09-16;115.96
Tirol;2022-09-17;120.82
Tirol;2022-09-18;126.35
Tirol;2022-09-19;132.53
Tirol;2022-09-20;139.49
Tirol;2022-09-21;147.12
Tirol;2022-09-22;155.15
Tirol;2022-09-23;163.47
Tirol;2022-09-24;171.68
Tirol;2022-09-25;179.63
Tirol;2022-09-26;187.14
Tirol;2022-09-27;194.26
Tirol;2022-09-28;200.92
Tirol;2022-09-29;207.07
Tirol;2022-09-30;212.59
Tirol;2022-10-01;217.23
Tirol;2022-10-02;220.75
Tirol;2022-10-03;223.01
Tirol;2022-10-04;223.99
Tirol;2022-10-05;223.92
Tirol;2022-10-06;223.04
Tirol;2022-10-07;221.49
Tirol;2022-10-08;219.47
Tirol;2022-10-09;216.87
Tirol;2022-10-10;213.86
Tirol;2022-10-11;210.2
Tirol;2022-10-12;206.04
Tirol;2022-10-13;201.3
Tirol;2022-10-14;195.84
Tirol;2022-10-15;189.68
Tirol;2022-10-16;182.46
Tirol;2022-10-17;174.29
Tirol;2022-10-18;165.26
Tirol;2022-10-19;155.73
Tirol;2022-10-20;146.0
Tirol;2022-10-21;136.35
Tirol;2022-10-22;127.02
Tirol;2022-10-23;118.27
Tirol;2022-10-24;110.26
Tirol;2022-10-25;103.06
Tirol;2022-10-26;96.6
Tirol;2022-10-27;90.82
Tirol;2022-10-28;85.58
Tirol;2022-10-29;80.96
Tirol;2022-10-30;76.94
Tirol;2022-10-31;73.62
Tirol;2022-11-01;70.92
Tirol;2022-11-02;68.83
Tirol;2022-11-03;67.36
Tirol;2022-11-04;66.35
Tirol;2022-11-05;65.83
Tirol;2022-11-06;65.79
Tirol;2022-11-07;66.26
Tirol;2022-11-08;67.28
Tirol;2022-11-09;68.69
Tirol;2022-11-10;70.51
Tirol;2022-11-11;72.58
Tirol;2022-11-12;74.91
Tirol;2022-11-13;77.5
Tirol;2022-11-14;80.26
Tirol;2022-11-15;83.15
Tirol;2022-11-16;86.13
Tirol;2022-11-17;89.22
Tirol;2022-11-18;92.32
Tirol;2022-11-19;95.45
Tirol;2022-11-20;98.62
Tirol;2022-11-21;101.89
Tirol;2022-11-22;105.25
Tirol;2022-11-23;108.83
Tirol;2022-11-24;112.5
Tirol;2022-11-25;116.23
Tirol;2022-11-26;119.91
Tirol;2022-11-27;123.51
Tirol;2022-11-28;127.03
Tirol;2022-11-29;130.61
Tirol;2022-11-30;134.41
Tirol;2022-12-01;138.21
Tirol;2022-12-02;141.94
Tirol;2022-12-03;145.14
Tirol;2022-12-04;149.83
Tirol;2022-12-05;150.88
Tirol;2022-12-06;151.7
Tirol;2022-12-07;151.98
Tirol;2022-12-08;151.81
Tirol;2022-12-09;151.44
Tirol;2022-12-10;151.03
Tirol;2022-12-11;150.78
Tirol;2022-12-12;150.82
Tirol;2022-12-13;150.99
Tirol;2022-12-14;151.29
Tirol;2022-12-15;151.63
Tirol;2022-12-16;151.95
Tirol;2022-12-17;152.14
Tirol;2022-12-18;152.28
Tirol;2022-12-19;152.29
Tirol;2022-12-20;152.26
Tirol;2022-12-21;152.25
Tirol;2022-12-22;152.18
Tirol;2022-12-23;152.12
Tirol;2022-12-24;151.87
Tirol;2022-12-25;151.43
Tirol;2022-12-26;150.64
Tirol;2022-12-27;149.43
Tirol;2022-12-28;147.66
Tirol;2022-12-29;145.39
Tirol;2022-12-30;142.68
Tirol;2022-12-31;139.53
Tirol;2023-01-01;135.91
Tirol;2023-01-02;131.9
Tirol;2023-01-03;127.73
Tirol;2023-01-04;123.46
Tirol;2023-01-05;119.32
Tirol;2023-01-06;115.44
Tirol;2023-01-07;111.9
Tirol;2023-01-08;108.87
Tirol;2023-01-09;106.47
Tirol;2023-01-10;104.67
Tirol;2023-01-11;103.53
Tirol;2023-01-12;102.88
Tirol;2023-01-13;102.7
Tirol;2023-01-14;102.91
Tirol;2023-01-15;103.56
Tirol;2023-01-16;104.59
Tirol;2023-01-17;106.21
Tirol;2023-01-18;108.38
Tirol;2023-01-19;111.14
Tirol;2023-01-20;114.45
Tirol;2023-01-21;118.41
Tirol;2023-01-22;123.05
Tirol;2023-01-23;128.53
Tirol;2023-01-24;134.74
Tirol;2023-01-25;141.72
Tirol;2023-01-26;149.18
Tirol;2023-01-27;156.91
Tirol;2023-01-28;164.79
Tirol;2023-01-29;172.57
Tirol;2023-01-30;180.18
Tirol;2023-01-31;187.69
Tirol;2023-02-01;195.08
Tirol;2023-02-02;202.43
Tirol;2023-02-03;209.75
Tirol;2023-02-04;217.15
Tirol;2023-02-05;224.54
Tirol;2023-02-06;232.02
Tirol;2023-02-07;239.63
Tirol;2023-02-08;247.28
Tirol;2023-02-09;255.04
Tirol;2023-02-10;262.63
Tirol;2023-02-11;269.9
Tirol;2023-02-12;276.6
Tirol;2023-02-13;282.41
Tirol;2023-02-14;287.07
Tirol;2023-02-15;290.3
Tirol;2023-02-16;292.0
Tirol;2023-02-17;292.5
Tirol;2023-02-18;292.07
Tirol;2023-02-19;291.3
