Gruppe;Datum;Genkopien pro EW / Tag * 10^6
Vorarlberg;2022-09-01;83.4
Vorarlberg;2022-09-02;84.43
Vorarlberg;2022-09-03;85.28
Vorarlberg;2022-09-04;82.15
Vorarlberg;2022-09-05;82.99
Vorarlberg;2022-09-06;84.03
Vorarlberg;2022-09-07;85.29
Vorarlberg;2022-09-08;86.82
Vorarlberg;2022-09-09;88.55
Vorarlberg;2022-09-10;90.58
Vorarlberg;2022-09-11;92.96
Vorarlberg;2022-09-12;95.81
Vorarlberg;2022-09-13;99.32
Vorarlberg;2022-09-14;103.42
Vorarlberg;2022-09-15;108.11
Vorarlberg;2022-09-16;113.16
Vorarlberg;2022-09-17;118.37
Vorarlberg;2022-09-18;123.6
Vorarlberg;2022-09-19;128.76
Vorarlberg;2022-09-20;133.88
Vorarlberg;2022-09-21;139.01
Vorarlberg;2022-09-22;144.24
Vorarlberg;2022-09-23;149.65
Vorarlberg;2022-09-24;155.36
Vorarlberg;2022-09-25;161.55
Vorarlberg;2022-09-26;168.31
Vorarlberg;2022-09-27;175.71
Vorarlberg;2022-09-28;183.6
Vorarlberg;2022-09-29;191.8
Vorarlberg;2022-09-30;199.85
Vorarlberg;2022-10-01;207.45
Vorarlberg;2022-10-02;214.18
Vorarlberg;2022-10-03;219.77
Vorarlberg;2022-10-04;224.14
Vorarlberg;2022-10-05;227.33
Vorarlberg;2022-10-06;229.26
Vorarlberg;2022-10-07;229.91
Vorarlberg;2022-10-08;229.13
Vorarlberg;2022-10-09;226.72
Vorarlberg;2022-10-10;222.62
Vorarlberg;2022-10-11;217.09
Vorarlberg;2022-10-12;210.45
Vorarlberg;2022-10-13;202.98
Vorarlberg;2022-10-14;195.04
Vorarlberg;2022-10-15;186.74
Vorarlberg;2022-10-16;178.33
Vorarlberg;2022-10-17;169.85
Vorarlberg;2022-10-18;161.56
Vorarlberg;2022-10-19;153.53
Vorarlberg;2022-10-20;145.8
Vorarlberg;2022-10-21;138.3
Vorarlberg;2022-10-22;131.12
Vorarlberg;2022-10-23;124.33
Vorarlberg;2022-10-24;118.0
Vorarlberg;2022-10-25;112.16
Vorarlberg;2022-10-26;106.86
Vorarlberg;2022-10-27;101.98
Vorarlberg;2022-10-28;97.45
Vorarlberg;2022-10-29;93.22
Vorarlberg;2022-10-30;89.33
Vorarlberg;2022-10-31;85.77
Vorarlberg;2022-11-01;82.51
Vorarlberg;2022-11-02;79.7
Vorarlberg;2022-11-03;77.26
Vorarlberg;2022-11-04;75.27
Vorarlberg;2022-11-05;73.8
Vorarlberg;2022-11-06;72.84
Vorarlberg;2022-11-07;72.65
Vorarlberg;2022-11-08;73.21
Vorarlberg;2022-11-09;74.57
Vorarlberg;2022-11-10;76.6
Vorarlberg;2022-11-11;79.18
Vorarlberg;2022-11-12;82.24
Vorarlberg;2022-11-13;85.61
Vorarlberg;2022-11-14;89.36
Vorarlberg;2022-11-15;93.43
Vorarlberg;2022-11-16;97.78
Vorarlberg;2022-11-17;102.25
Vorarlberg;2022-11-18;106.75
Vorarlberg;2022-11-19;111.23
Vorarlberg;2022-11-20;115.6
Vorarlberg;2022-11-21;119.94
Vorarlberg;2022-11-22;124.25
Vorarlberg;2022-11-23;128.55
Vorarlberg;2022-11-24;132.9
Vorarlberg;2022-11-25;137.22
Vorarlberg;2022-11-26;141.54
Vorarlberg;2022-11-27;145.85
Vorarlberg;2022-11-28;150.0
Vorarlberg;2022-11-29;153.92
Vorarlberg;2022-11-30;157.41
Vorarlberg;2022-12-01;160.5
Vorarlberg;2022-12-02;163.23
Vorarlberg;2022-12-03;165.76
Vorarlberg;2022-12-04;168.22
Vorarlberg;2022-12-05;170.73
Vorarlberg;2022-12-06;173.4
Vorarlberg;2022-12-07;176.21
Vorarlberg;2022-12-08;179.06
Vorarlberg;2022-12-09;181.86
Vorarlberg;2022-12-10;184.38
Vorarlberg;2022-12-11;186.45
Vorarlberg;2022-12-12;188.19
Vorarlberg;2022-12-13;189.66
Vorarlberg;2022-12-14;191.14
Vorarlberg;2022-12-15;192.79
Vorarlberg;2022-12-16;194.54
Vorarlberg;2022-12-17;196.31
Vorarlberg;2022-12-18;197.86
Vorarlberg;2022-12-19;199.03
Vorarlberg;2022-12-20;199.54
Vorarlberg;2022-12-21;199.22
Vorarlberg;2022-12-22;198.01
Vorarlberg;2022-12-23;195.98
Vorarlberg;2022-12-24;193.29
Vorarlberg;2022-12-25;189.94
Vorarlberg;2022-12-26;186.02
