Gruppe;Datum;Genkopien pro EW / Tag * 10^6
Vorarlberg;2022-09-01;83.37
Vorarlberg;2022-09-02;84.45
Vorarlberg;2022-09-03;85.28
Vorarlberg;2022-09-04;84.0
Vorarlberg;2022-09-05;84.53
Vorarlberg;2022-09-06;85.32
Vorarlberg;2022-09-07;86.38
Vorarlberg;2022-09-08;87.69
Vorarlberg;2022-09-09;89.27
Vorarlberg;2022-09-10;91.12
Vorarlberg;2022-09-11;93.4
Vorarlberg;2022-09-12;96.21
Vorarlberg;2022-09-13;99.63
Vorarlberg;2022-09-14;103.71
Vorarlberg;2022-09-15;108.34
Vorarlberg;2022-09-16;113.41
Vorarlberg;2022-09-17;118.59
Vorarlberg;2022-09-18;123.8
Vorarlberg;2022-09-19;128.95
Vorarlberg;2022-09-20;134.07
Vorarlberg;2022-09-21;139.18
Vorarlberg;2022-09-22;144.39
Vorarlberg;2022-09-23;149.78
Vorarlberg;2022-09-24;155.46
Vorarlberg;2022-09-25;161.62
Vorarlberg;2022-09-26;168.35
Vorarlberg;2022-09-27;175.73
Vorarlberg;2022-09-28;183.65
Vorarlberg;2022-09-29;191.82
Vorarlberg;2022-09-30;199.95
Vorarlberg;2022-10-01;207.54
Vorarlberg;2022-10-02;214.24
Vorarlberg;2022-10-03;219.8
Vorarlberg;2022-10-04;224.19
Vorarlberg;2022-10-05;227.39
Vorarlberg;2022-10-06;229.33
Vorarlberg;2022-10-07;229.97
Vorarlberg;2022-10-08;229.18
Vorarlberg;2022-10-09;226.79
Vorarlberg;2022-10-10;222.65
Vorarlberg;2022-10-11;217.11
Vorarlberg;2022-10-12;210.43
Vorarlberg;2022-10-13;202.99
Vorarlberg;2022-10-14;195.04
Vorarlberg;2022-10-15;186.72
Vorarlberg;2022-10-16;178.27
Vorarlberg;2022-10-17;169.83
Vorarlberg;2022-10-18;161.54
Vorarlberg;2022-10-19;153.5
Vorarlberg;2022-10-20;145.73
Vorarlberg;2022-10-21;138.21
Vorarlberg;2022-10-22;131.05
Vorarlberg;2022-10-23;124.26
Vorarlberg;2022-10-24;117.95
Vorarlberg;2022-10-25;112.17
Vorarlberg;2022-10-26;106.83
Vorarlberg;2022-10-27;101.92
Vorarlberg;2022-10-28;97.43
Vorarlberg;2022-10-29;93.22
Vorarlberg;2022-10-30;89.29
Vorarlberg;2022-10-31;85.73
Vorarlberg;2022-11-01;82.51
Vorarlberg;2022-11-02;79.67
Vorarlberg;2022-11-03;77.2
Vorarlberg;2022-11-04;75.23
Vorarlberg;2022-11-05;73.74
Vorarlberg;2022-11-06;72.81
Vorarlberg;2022-11-07;72.59
Vorarlberg;2022-11-08;73.15
Vorarlberg;2022-11-09;74.52
Vorarlberg;2022-11-10;76.59
Vorarlberg;2022-11-11;79.2
Vorarlberg;2022-11-12;82.2
Vorarlberg;2022-11-13;85.6
Vorarlberg;2022-11-14;89.35
Vorarlberg;2022-11-15;93.41
Vorarlberg;2022-11-16;97.75
Vorarlberg;2022-11-17;102.23
Vorarlberg;2022-11-18;106.73
Vorarlberg;2022-11-19;111.19
Vorarlberg;2022-11-20;115.6
Vorarlberg;2022-11-21;119.93
Vorarlberg;2022-11-22;124.26
Vorarlberg;2022-11-23;128.58
Vorarlberg;2022-11-24;132.91
Vorarlberg;2022-11-25;137.24
Vorarlberg;2022-11-26;141.58
Vorarlberg;2022-11-27;145.84
Vorarlberg;2022-11-28;150.0
Vorarlberg;2022-11-29;153.94
Vorarlberg;2022-11-30;157.47
Vorarlberg;2022-12-01;160.55
Vorarlberg;2022-12-02;163.3
Vorarlberg;2022-12-03;165.79
Vorarlberg;2022-12-04;168.26
Vorarlberg;2022-12-05;170.75
Vorarlberg;2022-12-06;173.39
Vorarlberg;2022-12-07;176.21
Vorarlberg;2022-12-08;179.07
Vorarlberg;2022-12-09;181.84
Vorarlberg;2022-12-10;184.36
Vorarlberg;2022-12-11;186.48
Vorarlberg;2022-12-12;188.18
Vorarlberg;2022-12-13;189.65
Vorarlberg;2022-12-14;191.15
Vorarlberg;2022-12-15;192.8
Vorarlberg;2022-12-16;194.56
Vorarlberg;2022-12-17;196.34
Vorarlberg;2022-12-18;197.87
Vorarlberg;2022-12-19;199.04
Vorarlberg;2022-12-20;199.55
Vorarlberg;2022-12-21;199.23
Vorarlberg;2022-12-22;198.0
Vorarlberg;2022-12-23;196.0
Vorarlberg;2022-12-24;193.29
Vorarlberg;2022-12-25;189.98
Vorarlberg;2022-12-26;186.04
Vorarlberg;2022-12-27;181.47
Vorarlberg;2022-12-28;176.35
Vorarlberg;2022-12-29;170.75
Vorarlberg;2022-12-30;164.75
Vorarlberg;2022-12-31;158.52
Vorarlberg;2023-01-01;151.99
Vorarlberg;2023-01-02;145.35
Vorarlberg;2023-01-03;138.71
Vorarlberg;2023-01-04;132.29
Vorarlberg;2023-01-05;126.14
Vorarlberg;2023-01-06;120.34
Vorarlberg;2023-01-07;114.98
Vorarlberg;2023-01-08;110.18
Vorarlberg;2023-01-09;105.96
Vorarlberg;2023-01-10;102.34
Vorarlberg;2023-01-11;99.15
Vorarlberg;2023-01-12;96.38
Vorarlberg;2023-01-13;94.04
Vorarlberg;2023-01-14;92.1
Vorarlberg;2023-01-15;90.74
Vorarlberg;2023-01-16;90.01
Vorarlberg;2023-01-17;89.99
Vorarlberg;2023-01-18;90.62
Vorarlberg;2023-01-19;91.84
Vorarlberg;2023-01-20;93.57
Vorarlberg;2023-01-21;95.79
Vorarlberg;2023-01-22;98.54
Vorarlberg;2023-01-23;101.96
Vorarlberg;2023-01-24;106.0
Vorarlberg;2023-01-25;110.81
Vorarlberg;2023-01-26;116.25
Vorarlberg;2023-01-27;122.31
Vorarlberg;2023-01-28;128.94
Vorarlberg;2023-01-29;136.24
Vorarlberg;2023-01-30;144.24
Vorarlberg;2023-01-31;153.07
Vorarlberg;2023-02-01;162.6
Vorarlberg;2023-02-02;172.6
Vorarlberg;2023-02-03;182.89
Vorarlberg;2023-02-04;193.14
Vorarlberg;2023-02-05;203.15
Vorarlberg;2023-02-06;212.66
Vorarlberg;2023-02-07;221.47
Vorarlberg;2023-02-08;229.48
Vorarlberg;2023-02-09;236.63
Vorarlberg;2023-02-10;243.04
Vorarlberg;2023-02-11;248.92
Vorarlberg;2023-02-12;254.31
Vorarlberg;2023-02-13;259.19
Vorarlberg;2023-02-14;263.41
Vorarlberg;2023-02-15;266.72
Vorarlberg;2023-02-16;268.97
Vorarlberg;2023-02-17;270.35
Vorarlberg;2023-02-18;271.17
Vorarlberg;2023-02-19;271.83
Vorarlberg;2023-02-20;272.59
Vorarlberg;2023-02-21;273.81
Vorarlberg;2023-02-22;275.37
Vorarlberg;2023-02-23;277.07
Vorarlberg;2023-02-24;278.51
Vorarlberg;2023-02-25;279.25
Vorarlberg;2023-02-26;278.93
Vorarlberg;2023-02-27;277.35
Vorarlberg;2023-02-28;274.45
Vorarlberg;2023-03-01;270.47
Vorarlberg;2023-03-02;265.55
Vorarlberg;2023-03-03;260.05
Vorarlberg;2023-03-04;254.37
Vorarlberg;2023-03-05;248.84
Vorarlberg;2023-03-06;243.81
Vorarlberg;2023-03-07;239.4
Vorarlberg;2023-03-08;235.61
Vorarlberg;2023-03-09;232.15
Vorarlberg;2023-03-10;228.8
Vorarlberg;2023-03-11;225.2
Vorarlberg;2023-03-12;221.1
Vorarlberg;2023-03-13;216.23
Vorarlberg;2023-03-14;210.49
Vorarlberg;2023-03-15;204.0
Vorarlberg;2023-03-16;197.02
Vorarlberg;2023-03-17;189.75
Vorarlberg;2023-03-18;182.44
Vorarlberg;2023-03-19;175.29
Vorarlberg;2023-03-20;168.21
Vorarlberg;2023-03-21;161.22
Vorarlberg;2023-03-22;154.07
Vorarlberg;2023-03-23;146.62
Vorarlberg;2023-03-24;138.97
Vorarlberg;2023-03-25;131.25
Vorarlberg;2023-03-26;123.79
Vorarlberg;2023-03-27;116.85
Vorarlberg;2023-03-28;110.51
Vorarlberg;2023-03-29;104.89
Vorarlberg;2023-03-30;99.92
Vorarlberg;2023-03-31;95.49
Vorarlberg;2023-04-01;91.56
Vorarlberg;2023-04-02;88.08
Vorarlberg;2023-04-03;85.09
Vorarlberg;2023-04-04;82.49
Vorarlberg;2023-04-05;80.18
Vorarlberg;2023-04-06;77.98
Vorarlberg;2023-04-07;75.81
Vorarlberg;2023-04-08;73.62
Vorarlberg;2023-04-09;71.35
Vorarlberg;2023-04-10;69.01
Vorarlberg;2023-04-11;66.49
Vorarlberg;2023-04-12;63.75
Vorarlberg;2023-04-13;60.8
Vorarlberg;2023-04-14;57.74
Vorarlberg;2023-04-15;54.75
Vorarlberg;2023-04-16;51.9
Vorarlberg;2023-04-17;49.35
Vorarlberg;2023-04-18;47.11
Vorarlberg;2023-04-19;45.13
Vorarlberg;2023-04-20;43.41
Vorarlberg;2023-04-21;41.75
Vorarlberg;2023-04-22;40.2
Vorarlberg;2023-04-23;38.7
Vorarlberg;2023-04-24;37.32
Vorarlberg;2023-04-25;35.94
Vorarlberg;2023-04-26;34.6
Vorarlberg;2023-04-27;33.16
Vorarlberg;2023-04-28;31.72
Vorarlberg;2023-04-29;30.26
Vorarlberg;2023-04-30;28.84
Vorarlberg;2023-05-01;27.52
Vorarlberg;2023-05-02;26.34
Vorarlberg;2023-05-03;25.3
Vorarlberg;2023-05-04;24.44
Vorarlberg;2023-05-05;23.71
Vorarlberg;2023-05-06;23.16
Vorarlberg;2023-05-07;22.75
Vorarlberg;2023-05-08;22.54
Vorarlberg;2023-05-09;22.46
Vorarlberg;2023-05-10;22.54
Vorarlberg;2023-05-11;22.71
Vorarlberg;2023-05-12;22.99
Vorarlberg;2023-05-13;23.33
Vorarlberg;2023-05-14;23.75
Vorarlberg;2023-05-15;24.26
Vorarlberg;2023-05-16;24.81
Vorarlberg;2023-05-17;25.34
Vorarlberg;2023-05-18;25.83
Vorarlberg;2023-05-19;26.24
Vorarlberg;2023-05-20;26.44
Vorarlberg;2023-05-21;26.45
Vorarlberg;2023-05-22;26.17
Vorarlberg;2023-05-23;25.59
Vorarlberg;2023-05-24;24.82
Vorarlberg;2023-05-25;23.9
Vorarlberg;2023-05-26;22.9
Vorarlberg;2023-05-27;21.84
Vorarlberg;2023-05-28;20.68
Vorarlberg;2023-05-29;19.57
Vorarlberg;2023-05-30;18.42
Vorarlberg;2023-05-31;17.31
Vorarlberg;2023-06-01;16.22
Vorarlberg;2023-06-02;15.18
Vorarlberg;2023-06-03;14.16
Vorarlberg;2023-06-04;13.22
Vorarlberg;2023-06-05;12.31
Vorarlberg;2023-06-06;11.55
Vorarlberg;2023-06-07;10.81
Vorarlberg;2023-06-08;10.12
Vorarlberg;2023-06-09;9.47
Vorarlberg;2023-06-10;8.87
Vorarlberg;2023-06-11;8.35
Vorarlberg;2023-06-12;7.87
Vorarlberg;2023-06-13;7.43
Vorarlberg;2023-06-14;7.09
Vorarlberg;2023-06-15;6.77
Vorarlberg;2023-06-16;6.49
Vorarlberg;2023-06-17;6.18
Vorarlberg;2023-06-18;5.92
Vorarlberg;2023-06-19;5.64
Vorarlberg;2023-06-20;5.38
Vorarlberg;2023-06-21;5.1
Vorarlberg;2023-06-22;4.81
Vorarlberg;2023-06-23;4.6
Vorarlberg;2023-06-24;4.37
Vorarlberg;2023-06-25;4.21
Vorarlberg;2023-06-26;4.07
Vorarlberg;2023-06-27;4.01
Vorarlberg;2023-06-28;4.03
Vorarlberg;2023-06-29;4.08
Vorarlberg;2023-06-30;4.21
Vorarlberg;2023-07-01;4.35
Vorarlberg;2023-07-02;4.55
Vorarlberg;2023-07-03;4.8
Vorarlberg;2023-07-04;5.07
Vorarlberg;2023-07-05;5.39
Vorarlberg;2023-07-06;5.74
Vorarlberg;2023-07-07;6.12
Vorarlberg;2023-07-08;6.49
Vorarlberg;2023-07-09;6.86
Vorarlberg;2023-07-10;7.2
Vorarlberg;2023-07-11;7.54
Vorarlberg;2023-07-12;7.79
Vorarlberg;2023-07-13;7.98
Vorarlberg;2023-07-14;8.13
Vorarlberg;2023-07-15;8.22
Vorarlberg;2023-07-16;8.41
Vorarlberg;2023-07-17;8.65
Vorarlberg;2023-07-18;9.01
Vorarlberg;2023-07-19;9.49
Vorarlberg;2023-07-20;10.07
Vorarlberg;2023-07-21;10.79
Vorarlberg;2023-07-22;11.64
Vorarlberg;2023-07-23;12.59
Vorarlberg;2023-07-24;13.73
Vorarlberg;2023-07-25;14.99
Vorarlberg;2023-07-26;16.42
Vorarlberg;2023-07-27;18.0
Vorarlberg;2023-07-28;19.67
Vorarlberg;2023-07-29;21.46
Vorarlberg;2023-07-30;23.4
Vorarlberg;2023-07-31;25.46
Vorarlberg;2023-08-01;27.68
Vorarlberg;2023-08-02;29.92
Vorarlberg;2023-08-03;32.21
Vorarlberg;2023-08-04;34.55
Vorarlberg;2023-08-05;36.86
Vorarlberg;2023-08-06;39.15
Vorarlberg;2023-08-07;41.44
Vorarlberg;2023-08-08;43.64
Vorarlberg;2023-08-09;45.72
Vorarlberg;2023-08-10;47.51
Vorarlberg;2023-08-11;48.98
Vorarlberg;2023-08-12;50.13
Vorarlberg;2023-08-13;50.93
Vorarlberg;2023-08-14;51.33
Vorarlberg;2023-08-15;51.32
Vorarlberg;2023-08-16;50.87
Vorarlberg;2023-08-17;50.13
Vorarlberg;2023-08-18;49.13
Vorarlberg;2023-08-19;47.98
Vorarlberg;2023-08-20;46.83
Vorarlberg;2023-08-21;45.71
Vorarlberg;2023-08-22;44.66
Vorarlberg;2023-08-23;43.73
Vorarlberg;2023-08-24;42.91
Vorarlberg;2023-08-25;42.32
Vorarlberg;2023-08-26;41.97
Vorarlberg;2023-08-27;42.05
Vorarlberg;2023-08-28;42.62
Vorarlberg;2023-08-29;43.76
Vorarlberg;2023-08-30;45.51
Vorarlberg;2023-08-31;47.73
Vorarlberg;2023-09-01;50.31
Vorarlberg;2023-09-02;53.16
Vorarlberg;2023-09-03;56.16
Vorarlberg;2023-09-04;59.25
Vorarlberg;2023-09-05;62.4
Vorarlberg;2023-09-06;65.58
Vorarlberg;2023-09-07;68.65
Vorarlberg;2023-09-08;71.57
Vorarlberg;2023-09-09;74.2
Vorarlberg;2023-09-10;76.39
Vorarlberg;2023-09-11;78.05
Vorarlberg;2023-09-12;79.09
Vorarlberg;2023-09-13;79.6
Vorarlberg;2023-09-14;79.78
Vorarlberg;2023-09-15;79.79
Vorarlberg;2023-09-16;79.85
Vorarlberg;2023-09-17;80.1
Vorarlberg;2023-09-18;80.71
Vorarlberg;2023-09-19;81.8
Vorarlberg;2023-09-20;83.37
Vorarlberg;2023-09-21;85.4
Vorarlberg;2023-09-22;87.85
Vorarlberg;2023-09-23;90.59
Vorarlberg;2023-09-24;93.54
Vorarlberg;2023-09-25;96.52
Vorarlberg;2023-09-26;99.28
Vorarlberg;2023-09-27;101.61
Vorarlberg;2023-09-28;103.4
Vorarlberg;2023-09-29;104.73
Vorarlberg;2023-09-30;105.92
Vorarlberg;2023-10-01;107.21
Vorarlberg;2023-10-02;108.76
Vorarlberg;2023-10-03;110.69
Vorarlberg;2023-10-04;112.94
Vorarlberg;2023-10-05;115.42
Vorarlberg;2023-10-06;117.96
Vorarlberg;2023-10-07;120.56
Vorarlberg;2023-10-08;123.15
Vorarlberg;2023-10-09;125.71
Vorarlberg;2023-10-10;128.3
Vorarlberg;2023-10-11;130.94
Vorarlberg;2023-10-12;133.77
Vorarlberg;2023-10-13;136.86
Vorarlberg;2023-10-14;140.15
Vorarlberg;2023-10-15;143.72
Vorarlberg;2023-10-16;147.59
Vorarlberg;2023-10-17;151.72
Vorarlberg;2023-10-18;156.07
Vorarlberg;2023-10-19;160.59
Vorarlberg;2023-10-20;165.25
Vorarlberg;2023-10-21;170.13
Vorarlberg;2023-10-22;175.29
Vorarlberg;2023-10-23;180.87
Vorarlberg;2023-10-24;186.93
Vorarlberg;2023-10-25;193.5
Vorarlberg;2023-10-26;200.51
Vorarlberg;2023-10-27;207.89
Vorarlberg;2023-10-28;215.86
Vorarlberg;2023-10-29;224.68
Vorarlberg;2023-10-30;234.64
Vorarlberg;2023-10-31;245.76
Vorarlberg;2023-11-01;257.97
Vorarlberg;2023-11-02;270.92
Vorarlberg;2023-11-03;284.42
Vorarlberg;2023-11-04;298.2
Vorarlberg;2023-11-05;312.0
Vorarlberg;2023-11-06;325.65
Vorarlberg;2023-11-07;339.08
Vorarlberg;2023-11-08;352.08
Vorarlberg;2023-11-09;364.65
Vorarlberg;2023-11-10;376.81
Vorarlberg;2023-11-11;388.65
Vorarlberg;2023-11-12;400.32
Vorarlberg;2023-11-13;411.81
Vorarlberg;2023-11-14;423.26
Vorarlberg;2023-11-15;434.73
Vorarlberg;2023-11-16;446.41
Vorarlberg;2023-11-17;458.28
Vorarlberg;2023-11-18;470.12
Vorarlberg;2023-11-19;481.7
Vorarlberg;2023-11-20;492.87
Vorarlberg;2023-11-21;503.41
Vorarlberg;2023-11-22;513.23
Vorarlberg;2023-11-23;522.26
Vorarlberg;2023-11-24;530.6
Vorarlberg;2023-11-25;538.37
Vorarlberg;2023-11-26;545.55
Vorarlberg;2023-11-27;552.04
Vorarlberg;2023-11-28;557.58
Vorarlberg;2023-11-29;562.23
Vorarlberg;2023-11-30;566.23
Vorarlberg;2023-12-01;570.17
Vorarlberg;2023-12-02;574.68
Vorarlberg;2023-12-03;580.38
Vorarlberg;2023-12-04;587.63
Vorarlberg;2023-12-05;596.47
Vorarlberg;2023-12-06;606.61
Vorarlberg;2023-12-07;617.67
Vorarlberg;2023-12-08;629.24
Vorarlberg;2023-12-09;641.2
Vorarlberg;2023-12-10;653.55
Vorarlberg;2023-12-11;666.57
Vorarlberg;2023-12-12;680.7
Vorarlberg;2023-12-13;695.93
Vorarlberg;2023-12-14;711.64
Vorarlberg;2023-12-15;726.55
Vorarlberg;2023-12-16;739.08
Vorarlberg;2023-12-17;747.83
Vorarlberg;2023-12-18;751.94
Vorarlberg;2023-12-19;751.49
Vorarlberg;2023-12-20;746.88
Vorarlberg;2023-12-21;738.52
Vorarlberg;2023-12-22;727.29
Vorarlberg;2023-12-23;714.44
Vorarlberg;2023-12-24;701.15
Vorarlberg;2023-12-25;688.82
Vorarlberg;2023-12-26;678.4
Tirol;2022-09-01;78.56
Tirol;2022-09-02;78.22
Tirol;2022-09-03;78.32
Tirol;2022-09-04;78.84
Tirol;2022-09-05;79.93
Tirol;2022-09-06;81.6
Tirol;2022-09-07;83.93
Tirol;2022-09-08;86.78
Tirol;2022-09-09;89.88
Tirol;2022-09-10;93.19
Tirol;2022-09-11;96.6
Tirol;2022-09-12;100.1
Tirol;2022-09-13;103.7
Tirol;2022-09-14;107.5
Tirol;2022-09-15;111.6
Tirol;2022-09-16;116.05
Tirol;2022-09-17;120.9
Tirol;2022-09-18;126.43
Tirol;2022-09-19;132.61
Tirol;2022-09-20;139.59
Tirol;2022-09-21;147.12
Tirol;2022-09-22;155.17
Tirol;2022-09-23;163.41
Tirol;2022-09-24;171.64
Tirol;2022-09-25;179.52
Tirol;2022-09-26;187.07
Tirol;2022-09-27;194.14
Tirol;2022-09-28;200.78
Tirol;2022-09-29;206.95
Tirol;2022-09-30;212.47
Tirol;2022-10-01;217.09
Tirol;2022-10-02;220.61
Tirol;2022-10-03;222.89
Tirol;2022-10-04;223.85
Tirol;2022-10-05;223.84
Tirol;2022-10-06;222.9
Tirol;2022-10-07;221.41
