Datum;gemittelte kumulierte Faelle der letzten 7 Tage aus den Humantestungen;Gesamtvirenfracht [Genkopien pro Tag * 10^6]
2022-01-16;51059;478688000
2022-01-17;54306;594272000
2022-01-18;60368;718272000
2022-01-19;64511;808592000
2022-01-20;69907;
2022-01-21;73840;
2022-01-22;77352;
2022-01-23;83987;1166176000
2022-01-24;87475;1026160000
2022-01-25;91942;897856000
2022-01-26;96750;971808000
2022-01-27;101146;
2022-01-28;103026;
2022-01-29;104106;
2022-01-30;104137;1321392000
2022-01-31;103518;1406688000
2022-02-01;105732;1499840000
2022-02-02;104944;1443680000
2022-02-03;101942;
2022-02-04;101238;
2022-02-05;100608;
2022-02-06;99300;1120096000
2022-02-07;99536;1064576000
2022-02-08;96703;1005856000
2022-02-09;94710;1051280000
2022-02-10;91454;
2022-02-11;90240;
2022-02-12;88697;
2022-02-13;87993;1261824000
2022-02-14;87650;1271600000
2022-02-15;88712;1294032000
2022-02-16;86909;1291952000
2022-02-17;88113;
2022-02-18;86098;
2022-02-19;84012;
2022-02-20;83493;1248688000
2022-02-21;81850;1300528000
2022-02-22;80568;1351200000
2022-02-23;79777;1385872000
2022-02-24;78623;
2022-02-25;78343;
2022-02-26;79059;
2022-02-27;77487;1536144000
2022-02-28;78765;1435696000
2022-03-01;80200;1348224000
2022-03-02;80856;1451248000
2022-03-03;81634;
2022-03-04;83034;
2022-03-05;86204;
2022-03-06;87926;1895696000
2022-03-07;90369;2189264000
2022-03-08;93375;2470592000
2022-03-09;101216;2410160000
2022-03-10;107988;
2022-03-11;113769;
2022-03-12;117299;
2022-03-13;120716;2295584000
2022-03-14;123210;2312928000
2022-03-15;129930;2337696000
2022-03-16;131629;2368240000
2022-03-17;131766;
2022-03-18;131932;
2022-03-19;132285;
2022-03-20;131665;2389344000
2022-03-21;131603;2615088000
2022-03-22;127698;2835312000
2022-03-23;124114;2636080000
2022-03-24;120387;2507264000
2022-03-25;117189;
2022-03-26;112668;
2022-03-27;108819;2124208000
2022-03-28;105087;1800960000
2022-03-29;97781;1448368000
2022-03-30;91017;1373744000
2022-03-31;84520;
2022-04-01;78487;
2022-04-02;73755;
2022-04-03;70224;1323392000
2022-04-04;65585;1235232000
2022-04-05;59586;1142080000
2022-04-06;56097;1095776000
2022-04-07;52081;
2022-04-08;50089;
2022-04-09;48827;
2022-04-10;46714;916704000
2022-04-11;43870;790384000
2022-04-12;40303;637424000
2022-04-13;37179;617888000
2022-04-14;36018;
2022-04-15;33636;
2022-04-16;31626;
2022-04-17;30641;590112000
2022-04-18;29018;575872000
2022-04-19;26576;566240000
2022-04-20;27028;572096000
2022-04-21;26248;
