JAHR;KW;WOHNORT;GESCHLECHT;ALTERSGRUPPE;STATION;COVID;INFLUENZA;RSV;PNEUMOKOKKEN;SONSTIGE;AUFNAHMEN;BEV_ZAHL
2023;20;OÖ;W;70 - 79;N;0;0;0;0;11;11;65521
2023;20;OÖ;W;80+;I;0;0;0;0;1;1;54272
2023;20;OÖ;W;80+;N;3;0;0;1;35;39;54272
2023;20;SBG;M;0 - 4;I;0;0;0;0;0;0;14559
2023;20;SBG;M;0 - 4;N;0;0;0;0;3;3;14559
2023;20;SBG;M;15 - 29;I;0;0;0;0;0;0;49514
2023;20;SBG;M;15 - 29;N;0;0;0;0;1;1;49514
2023;20;SBG;M;30 - 44;I;0;0;0;0;0;0;58373
2023;20;SBG;M;30 - 44;N;0;0;0;0;0;0;58373
2023;20;SBG;M;45 - 59;I;0;0;0;0;0;0;60002
2023;20;SBG;M;45 - 59;N;0;0;0;0;1;1;60002
2023;20;SBG;M;5 - 14;I;0;0;0;0;0;0;28141
2023;20;SBG;M;5 - 14;N;0;0;0;0;0;0;28141
2023;20;SBG;M;60 - 69;I;0;0;0;0;0;0;33199
2023;20;SBG;M;60 - 69;N;0;0;0;1;3;4;33199
2023;20;SBG;M;70 - 79;I;0;0;0;0;2;2;21501
2023;20;SBG;M;70 - 79;N;1;0;0;0;5;5;21501
2023;20;SBG;M;80+;I;0;0;0;0;0;0;12901
2023;20;SBG;M;80+;N;1;0;0;1;14;15;12901
2023;20;SBG;W;0 - 4;I;0;0;0;0;0;0;13602
2023;20;SBG;W;0 - 4;N;0;0;0;0;1;1;13602
2023;20;SBG;W;15 - 29;I;0;0;0;0;0;0;46786
2023;20;SBG;W;15 - 29;N;0;0;0;0;0;0;46786
2023;20;SBG;W;30 - 44;I;0;0;0;0;0;0;57406
2023;20;SBG;W;30 - 44;N;0;0;0;0;2;2;57406
2023;20;SBG;W;45 - 59;I;0;0;0;0;0;0;62089
2023;20;SBG;W;45 - 59;N;1;0;0;0;3;4;62089
2023;20;SBG;W;5 - 14;I;0;0;0;0;0;0;26886
2023;20;SBG;W;5 - 14;N;0;0;0;0;0;0;26886
2023;20;SBG;W;60 - 69;I;0;0;0;0;1;1;36905
2023;20;SBG;W;60 - 69;N;0;0;0;0;5;5;36905
2023;20;SBG;W;70 - 79;I;0;0;0;0;1;1;26554
2023;20;SBG;W;70 - 79;N;0;0;0;0;4;4;26554
2023;20;SBG;W;80+;I;0;0;0;0;0;0;19928
2023;20;SBG;W;80+;N;2;0;0;0;14;16;19928
2023;20;ST;M;0 - 4;I;0;0;0;0;0;0;28587
2023;20;ST;M;0 - 4;N;2;0;0;0;10;11;28587
2023;20;ST;M;15 - 29;I;0;0;0;0;0;0;107003
2023;20;ST;M;15 - 29;N;0;0;0;0;4;4;107003
2023;20;ST;M;30 - 44;I;0;0;0;0;0;0;128845
2023;20;ST;M;30 - 44;N;0;0;0;0;2;2;128845
2023;20;ST;M;45 - 59;I;0;0;0;0;0;0;138876
2023;20;ST;M;45 - 59;N;2;0;0;0;6;8;138876
2023;20;ST;M;5 - 14;I;0;0;0;0;0;0;59390
2023;20;ST;M;5 - 14;N;0;0;0;0;0;0;59390
2023;20;ST;M;60 - 69;I;0;0;0;0;1;1;81587
2023;20;ST;M;60 - 69;N;2;0;0;0;14;15;81587
2023;20;ST;M;70 - 79;I;0;0;0;0;1;1;49761
2023;20;ST;M;70 - 79;N;4;0;0;0;16;19;49761
2023;20;ST;M;80+;I;0;0;0;0;2;2;31466
2023;20;ST;M;80+;N;2;0;0;0;36;37;31466
2023;20;ST;W;0 - 4;I;0;0;0;0;0;0;27516
2023;20;ST;W;0 - 4;N;0;0;0;0;6;6;27516
2023;20;ST;W;15 - 29;I;0;0;0;0;0;0;98279
2023;20;ST;W;15 - 29;N;0;0;0;0;0;0;98279
2023;20;ST;W;30 - 44;I;0;0;0;0;0;0;122527
2023;20;ST;W;30 - 44;N;0;0;0;0;2;2;122527
2023;20;ST;W;45 - 59;I;0;0;0;0;0;0;137720
2023;20;ST;W;45 - 59;N;1;0;0;0;3;4;137720
2023;20;ST;W;5 - 14;I;0;0;0;0;0;0;55546
2023;20;ST;W;5 - 14;N;0;1;0;0;0;1;55546
2023;20;ST;W;60 - 69;I;1;0;0;0;1;2;86009
2023;20;ST;W;60 - 69;N;2;0;0;0;10;12;86009
2023;20;ST;W;70 - 79;I;0;0;0;0;2;2;60569
2023;20;ST;W;70 - 79;N;2;0;0;0;12;14;60569
2023;20;ST;W;80+;I;2;0;0;0;1;3;51517
2023;20;ST;W;80+;N;7;0;0;1;35;42;51517
2023;20;T;M;0 - 4;I;0;0;0;0;0;0;19426
2023;20;T;M;0 - 4;N;0;0;0;0;6;6;19426
2023;20;T;M;15 - 29;I;0;0;0;0;0;0;68738
2023;20;T;M;15 - 29;N;1;0;0;0;0;1;68738
2023;20;T;M;30 - 44;I;0;0;0;0;0;0;80055
2023;20;T;M;30 - 44;N;0;0;0;0;1;1;80055
2023;20;T;M;45 - 59;I;0;0;0;0;0;0;83366
2023;20;T;M;45 - 59;N;0;0;0;1;2;3;83366
2023;20;T;M;5 - 14;I;0;0;0;0;0;0;38244
2023;20;T;M;5 - 14;N;0;0;0;0;1;1;38244
2023;20;T;M;60 - 69;I;0;0;0;0;0;0;45032
2023;20;T;M;60 - 69;N;2;0;0;0;7;8;45032
2023;20;T;M;70 - 79;I;0;0;0;0;1;1;28179
2023;20;T;M;70 - 79;N;0;0;0;2;13;15;28179
2023;20;T;M;80+;I;0;0;0;0;0;0;17597
2023;20;T;M;80+;N;1;0;0;0;20;21;17597
2023;20;T;W;0 - 4;I;0;0;0;0;0;0;18343
2023;20;T;W;0 - 4;N;0;0;0;0;5;5;18343
2023;20;T;W;15 - 29;I;0;0;0;0;0;0;64358
2023;20;T;W;15 - 29;N;0;0;0;0;0;0;64358
2023;20;T;W;30 - 44;I;0;0;0;0;0;0;78747
2023;20;T;W;30 - 44;N;1;0;0;0;0;1;78747
2023;20;T;W;45 - 59;I;0;0;0;0;0;0;85089
2023;20;T;W;45 - 59;N;1;0;0;0;4;5;85089
2023;20;T;W;5 - 14;I;0;0;0;0;0;0;36114
2023;20;T;W;5 - 14;N;0;0;0;0;0;0;36114
2023;20;T;W;60 - 69;I;0;0;0;0;0;0;47861
2023;20;T;W;60 - 69;N;0;0;0;0;2;2;47861
2023;20;T;W;70 - 79;I;0;0;0;0;0;0;33698
2023;20;T;W;70 - 79;N;2;0;0;0;8;9;33698
2023;20;T;W;80+;I;0;0;0;0;0;0;26457
2023;20;T;W;80+;N;2;0;0;2;12;16;26457
2023;20;V;M;0 - 4;I;0;0;0;0;0;0;11185
2023;20;V;M;0 - 4;N;1;0;0;0;0;1;11185
2023;20;V;M;15 - 29;I;0;0;0;0;0;0;36552
2023;20;V;M;15 - 29;N;0;0;0;0;0;0;36552
2023;20;V;M;30 - 44;I;0;0;0;0;0;0;42070
2023;20;V;M;30 - 44;N;0;0;0;0;1;1;42070
2023;20;V;M;45 - 59;I;0;0;0;0;0;0;44152
2023;20;V;M;45 - 59;N;0;0;0;0;2;2;44152
2023;20;V;M;5 - 14;I;0;0;0;0;0;0;22093
2023;20;V;M;5 - 14;N;0;0;0;0;0;0;22093
2023;20;V;M;60 - 69;I;0;0;0;0;0;0;23065
2023;20;V;M;60 - 69;N;0;0;0;0;3;3;23065
2023;20;V;M;70 - 79;I;0;0;0;0;1;1;14368
2023;20;V;M;70 - 79;N;0;0;0;0;8;8;14368
2023;20;V;M;80+;I;0;0;0;0;1;1;8705
2023;20;V;M;80+;N;1;0;0;0;6;7;8705
2023;20;V;W;0 - 4;I;0;0;0;0;0;0;10440
2023;20;V;W;0 - 4;N;0;0;0;0;2;2;10440
2023;20;V;W;15 - 29;I;0;0;0;0;0;0;33321
2023;20;V;W;15 - 29;N;0;0;0;0;0;0;33321
2023;20;V;W;30 - 44;I;0;0;0;0;0;0;41244
2023;20;V;W;30 - 44;N;0;0;0;0;0;0;41244
2023;20;V;W;45 - 59;I;0;0;0;0;0;0;44009
2023;20;V;W;45 - 59;N;0;0;0;0;1;1;44009
2023;20;V;W;5 - 14;I;0;0;0;0;0;0;20807
2023;20;V;W;5 - 14;N;0;0;0;0;1;1;20807
2023;20;V;W;60 - 69;I;0;0;0;0;1;1;24272
2023;20;V;W;60 - 69;N;0;0;0;2;1;3;24272
2023;20;V;W;70 - 79;I;0;0;0;0;0;0;16760
2023;20;V;W;70 - 79;N;1;0;0;0;0;1;16760
2023;20;V;W;80+;I;1;0;0;0;0;1;13352
2023;20;V;W;80+;N;0;0;0;0;9;9;13352
2023;20;W;M;0 - 4;I;0;0;0;0;1;1;49761
2023;20;W;M;0 - 4;N;2;0;0;0;14;15;49761
2023;20;W;M;15 - 29;I;0;0;0;0;1;1;197815
2023;20;W;M;15 - 29;N;0;0;0;0;1;1;197815
2023;20;W;M;30 - 44;I;0;0;0;0;0;0;234008
2023;20;W;M;30 - 44;N;1;0;0;0;5;6;234008
2023;20;W;M;45 - 59;I;0;0;0;0;2;2;197095
2023;20;W;M;45 - 59;N;3;0;0;0;2;5;197095
2023;20;W;M;5 - 14;I;0;0;0;0;0;0;98711
2023;20;W;M;5 - 14;N;1;0;0;0;2;3;98711
2023;20;W;M;60 - 69;I;0;0;0;0;1;1;96445
2023;20;W;M;60 - 69;N;1;0;0;0;13;13;96445
2023;20;W;M;70 - 79;I;0;0;0;0;2;2;60465
2023;20;W;M;70 - 79;N;3;0;0;1;10;14;60465
2023;20;W;M;80+;I;0;0;0;0;2;2;34825
2023;20;W;M;80+;N;12;0;0;1;28;39;34825
2023;20;W;W;0 - 4;I;0;0;0;0;0;0;46967
2023;20;W;W;0 - 4;N;0;0;0;0;6;6;46967
2023;20;W;W;15 - 29;I;0;0;0;0;0;0;194282
2023;20;W;W;15 - 29;N;0;0;0;0;1;1;194282
2023;20;W;W;30 - 44;I;0;0;0;0;0;0;228259
2023;20;W;W;30 - 44;N;0;0;0;0;3;3;228259
2023;20;W;W;45 - 59;I;0;0;0;0;0;0;203725
2023;20;W;W;45 - 59;N;3;0;0;0;3;6;203725
2023;20;W;W;5 - 14;I;0;0;0;0;0;0;92193
2023;20;W;W;5 - 14;N;0;0;0;0;3;3;92193
2023;20;W;W;60 - 69;I;0;0;0;0;0;0;107201
2023;20;W;W;60 - 69;N;2;0;0;0;9;11;107201
2023;20;W;W;70 - 79;I;0;0;0;0;1;1;81196
2023;20;W;W;70 - 79;N;2;0;0;0;9;11;81196
2023;20;W;W;80+;I;1;0;0;0;0;1;59149
2023;20;W;W;80+;N;8;0;0;0;19;27;59149
2023;21;BGL;M;0 - 4;I;0;0;0;0;0;0;6203
2023;21;BGL;M;0 - 4;N;0;0;0;0;1;1;6203
2023;21;BGL;M;15 - 29;I;0;0;0;0;0;0;21547
2023;21;BGL;M;15 - 29;N;1;0;0;0;0;1;21547
2023;21;BGL;M;30 - 44;I;0;0;0;0;0;0;27102
2023;21;BGL;M;30 - 44;N;0;0;0;0;0;0;27102
2023;21;BGL;M;45 - 59;I;0;0;0;0;1;1;34423
2023;21;BGL;M;45 - 59;N;0;0;0;0;4;4;34423
2023;21;BGL;M;5 - 14;I;0;0;0;0;0;0;14239
2023;21;BGL;M;5 - 14;N;0;0;0;0;0;0;14239
2023;21;BGL;M;60 - 69;I;0;0;0;0;0;0;22455
2023;21;BGL;M;60 - 69;N;0;0;0;0;2;2;22455
2023;21;BGL;M;70 - 79;I;0;0;0;0;1;1;13780
2023;21;BGL;M;70 - 79;N;3;0;0;0;6;9;13780
2023;21;BGL;M;80+;I;0;0;0;0;1;1;7764
2023;21;BGL;M;80+;N;3;0;0;0;4;6;7764
2023;21;BGL;W;0 - 4;I;0;0;0;0;0;0;5948
2023;21;BGL;W;0 - 4;N;0;0;0;0;1;1;5948
2023;21;BGL;W;15 - 29;I;0;0;0;0;0;0;19925
2023;21;BGL;W;15 - 29;N;0;0;0;0;0;0;19925
2023;21;BGL;W;30 - 44;I;0;0;0;0;0;0;27926
2023;21;BGL;W;30 - 44;N;0;0;0;0;0;0;27926
2023;21;BGL;W;45 - 59;I;0;0;0;0;0;0;35354
2023;21;BGL;W;45 - 59;N;0;0;0;0;2;2;35354
2023;21;BGL;W;5 - 14;I;0;0;0;0;0;0;13488
2023;21;BGL;W;5 - 14;N;0;0;0;0;0;0;13488
2023;21;BGL;W;60 - 69;I;0;0;0;0;0;0;23241
2023;21;BGL;W;60 - 69;N;1;0;0;0;0;1;23241
2023;21;BGL;W;70 - 79;I;0;0;0;0;0;0;15494
2023;21;BGL;W;70 - 79;N;0;0;0;1;5;6;15494
2023;21;BGL;W;80+;I;0;0;0;0;0;0;12361
2023;21;BGL;W;80+;N;0;0;0;1;4;5;12361
2023;21;KTN;M;0 - 4;I;0;0;0;0;0;0;12094
2023;21;KTN;M;0 - 4;N;0;0;0;0;2;2;12094
2023;21;KTN;M;15 - 29;I;0;0;0;0;0;0;44779
2023;21;KTN;M;15 - 29;N;0;0;0;0;0;0;44779
2023;21;KTN;M;30 - 44;I;0;0;0;0;0;0;53429
2023;21;KTN;M;30 - 44;N;0;0;0;0;1;1;53429
2023;21;KTN;M;45 - 59;I;0;0;0;0;0;0;62291
2023;21;KTN;M;45 - 59;N;1;0;0;0;4;5;62291
2023;21;KTN;M;5 - 14;I;0;0;0;0;0;0;26441
2023;21;KTN;M;5 - 14;N;0;0;0;0;0;0;26441
2023;21;KTN;M;60 - 69;I;0;0;0;0;0;0;39936
2023;21;KTN;M;60 - 69;N;1;0;0;0;8;9;39936
2023;21;KTN;M;70 - 79;I;0;0;0;0;1;1;24639
2023;21;KTN;M;70 - 79;N;2;0;0;0;9;11;24639
2023;21;KTN;M;80+;I;0;0;0;0;1;1;14862
2023;21;KTN;M;80+;N;3;0;1;0;26;28;14862
2023;21;KTN;W;0 - 4;I;0;0;0;0;0;0;11441
2023;21;KTN;W;0 - 4;N;0;0;0;0;3;3;11441
2023;21;KTN;W;15 - 29;I;0;0;0;0;0;0;40534
2023;21;KTN;W;15 - 29;N;0;0;0;0;1;1;40534
2023;21;KTN;W;30 - 44;I;0;0;0;0;0;0;52625
2023;21;KTN;W;30 - 44;N;0;0;0;0;0;0;52625
2023;21;KTN;W;45 - 59;I;0;0;0;0;0;0;64051
2023;21;KTN;W;45 - 59;N;1;0;0;1;2;4;64051
2023;21;KTN;W;5 - 14;I;0;0;0;0;0;0;25080
2023;21;KTN;W;5 - 14;N;0;0;0;0;1;1;25080
2023;21;KTN;W;60 - 69;I;0;0;0;0;0;0;42536
2023;21;KTN;W;60 - 69;N;0;0;0;0;4;4;42536
2023;21;KTN;W;70 - 79;I;0;0;0;0;0;0;29804
2023;21;KTN;W;70 - 79;N;1;0;0;0;5;6;29804
2023;21;KTN;W;80+;I;0;0;0;0;0;0;24442
2023;21;KTN;W;80+;N;5;0;0;1;13;19;24442
2023;21;NÖ;M;0 - 4;I;0;0;0;0;0;0;40264
2023;21;NÖ;M;0 - 4;N;0;0;0;0;6;6;40264
2023;21;NÖ;M;15 - 29;I;0;0;0;0;0;0;135847
2023;21;NÖ;M;15 - 29;N;0;0;0;0;0;0;135847
2023;21;NÖ;M;30 - 44;I;0;0;0;0;0;0;163927
2023;21;NÖ;M;30 - 44;N;0;0;0;0;1;1;163927
2023;21;NÖ;M;45 - 59;I;0;0;0;0;0;0;194009
2023;21;NÖ;M;45 - 59;N;0;0;0;0;5;5;194009
2023;21;NÖ;M;5 - 14;I;0;0;0;0;0;0;88232
2023;21;NÖ;M;5 - 14;N;0;0;0;0;0;0;88232
2023;21;NÖ;M;60 - 69;I;0;0;0;0;1;1;110830
2023;21;NÖ;M;60 - 69;N;1;0;0;1;12;14;110830
2023;21;NÖ;M;70 - 79;I;1;0;0;0;3;3;68295
2023;21;NÖ;M;70 - 79;N;2;0;0;0;21;23;68295
2023;21;NÖ;M;80+;I;0;0;0;1;1;2;43827
2023;21;NÖ;M;80+;N;1;0;0;0;33;34;43827
2023;21;NÖ;W;0 - 4;I;0;0;0;0;0;0;38530
2023;21;NÖ;W;0 - 4;N;0;0;0;1;6;6;38530
2023;21;NÖ;W;15 - 29;I;0;0;0;0;0;0;125900
2023;21;NÖ;W;15 - 29;N;0;0;0;0;0;0;125900
2023;21;NÖ;W;30 - 44;I;0;0;0;0;0;0;164127
2023;21;NÖ;W;30 - 44;N;1;0;0;0;0;1;164127
2023;21;NÖ;W;45 - 59;I;0;0;0;0;0;0;197835
2023;21;NÖ;W;45 - 59;N;0;0;0;0;5;5;197835
2023;21;NÖ;W;5 - 14;I;0;0;0;0;0;0;83246
2023;21;NÖ;W;5 - 14;N;0;0;0;0;2;2;83246
2023;21;NÖ;W;60 - 69;I;0;0;0;0;0;0;115695
2023;21;NÖ;W;60 - 69;N;0;1;0;0;10;11;115695
2023;21;NÖ;W;70 - 79;I;0;0;0;0;0;0;81215
2023;21;NÖ;W;70 - 79;N;1;0;0;0;12;13;81215
2023;21;NÖ;W;80+;I;0;0;0;0;0;0;66594
2023;21;NÖ;W;80+;N;2;0;0;1;39;41;66594
2023;21;OÖ;M;0 - 4;I;0;0;0;0;0;0;39341
2023;21;OÖ;M;0 - 4;N;1;0;0;0;13;14;39341
2023;21;OÖ;M;15 - 29;I;0;0;0;0;0;0;133825
2023;21;OÖ;M;15 - 29;N;0;0;0;0;1;1;133825
2023;21;OÖ;M;30 - 44;I;0;0;0;0;1;1;157183
2023;21;OÖ;M;30 - 44;N;1;0;0;0;4;5;157183
2023;21;OÖ;M;45 - 59;I;0;0;0;0;0;0;163750
2023;21;OÖ;M;45 - 59;N;0;0;0;0;5;5;163750
2023;21;OÖ;M;5 - 14;I;0;0;0;0;0;0;79609
2023;21;OÖ;M;5 - 14;N;0;0;0;0;3;3;79609
2023;21;OÖ;M;60 - 69;I;0;0;0;0;0;0;95341
2023;21;OÖ;M;60 - 69;N;4;0;0;0;12;16;95341
2023;21;OÖ;M;70 - 79;I;1;0;0;0;1;2;55199
2023;21;OÖ;M;70 - 79;N;3;0;0;0;15;18;55199
2023;21;OÖ;M;80+;I;0;0;0;0;2;2;33695
2023;21;OÖ;M;80+;N;1;0;0;1;36;38;33695
2023;21;OÖ;W;0 - 4;I;0;0;0;0;0;0;37266
2023;21;OÖ;W;0 - 4;N;0;0;0;0;3;3;37266
2023;21;OÖ;W;15 - 29;I;0;0;0;0;0;0;122614
2023;21;OÖ;W;15 - 29;N;0;0;0;0;3;3;122614
2023;21;OÖ;W;30 - 44;I;0;0;0;0;0;0;148425
2023;21;OÖ;W;30 - 44;N;0;0;0;0;3;3;148425
2023;21;OÖ;W;45 - 59;I;0;0;0;0;0;0;162516
2023;21;OÖ;W;45 - 59;N;0;0;0;0;6;6;162516
2023;21;OÖ;W;5 - 14;I;0;0;0;0;0;0;75111
2023;21;OÖ;W;5 - 14;N;0;0;0;0;2;2;75111
2023;21;OÖ;W;60 - 69;I;0;0;0;0;0;0;99157
2023;21;OÖ;W;60 - 69;N;0;0;0;1;15;16;99157
2023;21;OÖ;W;70 - 79;I;0;0;0;0;1;1;65521
2023;21;OÖ;W;70 - 79;N;4;0;1;1;9;14;65521
2023;21;OÖ;W;80+;I;0;0;0;0;0;0;54272
2023;21;OÖ;W;80+;N;3;0;0;0;29;32;54272
2023;21;SBG;M;0 - 4;I;0;0;0;0;0;0;14559
2023;21;SBG;M;0 - 4;N;0;0;0;0;1;1;14559
2023;21;SBG;M;15 - 29;I;0;0;0;0;0;0;49514
2023;21;SBG;M;15 - 29;N;0;0;0;0;0;0;49514
2023;21;SBG;M;30 - 44;I;0;0;0;0;0;0;58373
2023;21;SBG;M;30 - 44;N;0;0;0;0;0;0;58373
2023;21;SBG;M;45 - 59;I;0;0;0;0;1;1;60002
2023;21;SBG;M;45 - 59;N;0;0;0;0;4;4;60002
2023;21;SBG;M;5 - 14;I;0;0;0;0;0;0;28141
2023;21;SBG;M;5 - 14;N;0;0;0;0;1;1;28141
2023;21;SBG;M;60 - 69;I;0;0;0;0;0;0;33199
2023;21;SBG;M;60 - 69;N;0;0;0;0;5;5;33199
2023;21;SBG;M;70 - 79;I;0;0;0;0;1;1;21501
2023;21;SBG;M;70 - 79;N;0;0;0;0;5;5;21501
2023;21;SBG;M;80+;I;1;0;0;0;1;2;12901
2023;21;SBG;M;80+;N;0;0;0;0;8;8;12901
2023;21;SBG;W;0 - 4;I;0;0;0;0;0;0;13602
2023;21;SBG;W;0 - 4;N;1;0;0;0;1;2;13602
2023;21;SBG;W;15 - 29;I;0;0;0;0;1;1;46786
2023;21;SBG;W;15 - 29;N;0;0;0;0;1;1;46786
2023;21;SBG;W;30 - 44;I;0;0;0;0;0;0;57406
2023;21;SBG;W;30 - 44;N;0;0;0;0;0;0;57406
2023;21;SBG;W;45 - 59;I;0;0;0;0;0;0;62089
2023;21;SBG;W;45 - 59;N;0;0;0;0;0;0;62089
2023;21;SBG;W;5 - 14;I;0;0;0;0;0;0;26886
2023;21;SBG;W;5 - 14;N;0;0;0;0;0;0;26886
2023;21;SBG;W;60 - 69;I;0;0;0;0;0;0;36905
2023;21;SBG;W;60 - 69;N;0;0;0;0;2;2;36905
2023;21;SBG;W;70 - 79;I;0;0;0;0;0;0;26554
2023;21;SBG;W;70 - 79;N;2;0;0;0;4;6;26554
2023;21;SBG;W;80+;I;0;0;0;0;0;0;19928
2023;21;SBG;W;80+;N;1;0;0;0;17;17;19928
2023;21;ST;M;0 - 4;I;0;0;0;0;0;0;28587
2023;21;ST;M;0 - 4;N;1;0;0;0;9;10;28587
2023;21;ST;M;15 - 29;I;0;0;0;0;0;0;107003
2023;21;ST;M;15 - 29;N;1;0;0;0;2;3;107003
2023;21;ST;M;30 - 44;I;0;0;0;0;1;1;128845
2023;21;ST;M;30 - 44;N;0;0;0;0;2;2;128845
2023;21;ST;M;45 - 59;I;0;0;0;0;0;0;138876
2023;21;ST;M;45 - 59;N;0;0;0;0;4;4;138876
2023;21;ST;M;5 - 14;I;0;0;0;0;0;0;59390
2023;21;ST;M;5 - 14;N;0;0;0;0;0;0;59390
2023;21;ST;M;60 - 69;I;0;0;0;0;0;0;81587
2023;21;ST;M;60 - 69;N;5;0;0;0;8;13;81587
2023;21;ST;M;70 - 79;I;1;0;0;0;1;2;49761
2023;21;ST;M;70 - 79;N;2;0;0;0;14;16;49761
2023;21;ST;M;80+;I;0;0;0;0;0;0;31466
2023;21;ST;M;80+;N;3;0;0;0;28;31;31466
2023;21;ST;W;0 - 4;I;0;0;0;0;1;1;27516
2023;21;ST;W;0 - 4;N;0;0;0;0;9;9;27516
2023;21;ST;W;15 - 29;I;0;0;0;0;0;0;98279
2023;21;ST;W;15 - 29;N;0;0;0;0;2;2;98279
2023;21;ST;W;30 - 44;I;0;0;0;0;0;0;122527
2023;21;ST;W;30 - 44;N;0;0;0;0;1;1;122527
2023;21;ST;W;45 - 59;I;0;0;0;0;2;2;137720
2023;21;ST;W;45 - 59;N;1;0;0;0;1;2;137720
2023;21;ST;W;5 - 14;I;0;0;0;0;0;0;55546
2023;21;ST;W;5 - 14;N;0;0;0;0;3;3;55546
2023;21;ST;W;60 - 69;I;0;0;1;0;3;4;86009
2023;21;ST;W;60 - 69;N;0;0;0;1;12;13;86009
2023;21;ST;W;70 - 79;I;0;0;0;0;3;3;60569
2023;21;ST;W;70 - 79;N;2;0;0;2;12;16;60569
2023;21;ST;W;80+;I;0;0;0;1;2;3;51517
2023;21;ST;W;80+;N;9;0;0;1;40;49;51517
2023;21;T;M;0 - 4;I;0;0;0;0;1;1;19426
2023;21;T;M;0 - 4;N;1;0;0;0;7;8;19426
2023;21;T;M;15 - 29;I;0;0;0;0;0;0;68738
2023;21;T;M;15 - 29;N;0;0;0;0;1;1;68738
2023;21;T;M;30 - 44;I;0;0;0;0;0;0;80055
2023;21;T;M;30 - 44;N;0;0;0;0;3;3;80055
2023;21;T;M;45 - 59;I;0;0;0;0;1;1;83366
2023;21;T;M;45 - 59;N;0;0;0;0;5;5;83366
2023;21;T;M;5 - 14;I;0;0;0;0;0;0;38244
2023;21;T;M;5 - 14;N;0;0;0;0;1;1;38244
2023;21;T;M;60 - 69;I;0;0;0;0;0;0;45032
2023;21;T;M;60 - 69;N;0;0;0;1;9;10;45032
2023;21;T;M;70 - 79;I;0;0;0;0;0;0;28179
2023;21;T;M;70 - 79;N;0;0;0;0;15;15;28179
2023;21;T;M;80+;I;0;0;0;0;1;1;17597
2023;21;T;M;80+;N;1;0;0;0;23;24;17597
2023;21;T;W;0 - 4;I;0;0;0;0;0;0;18343
2023;21;T;W;0 - 4;N;0;0;0;0;3;3;18343
2023;21;T;W;15 - 29;I;0;0;0;0;0;0;64358
2023;21;T;W;15 - 29;N;0;0;0;0;0;0;64358
2023;21;T;W;30 - 44;I;0;0;0;0;0;0;78747
2023;21;T;W;30 - 44;N;0;0;0;0;1;1;78747
2023;21;T;W;45 - 59;I;0;0;0;0;0;0;85089
2023;21;T;W;45 - 59;N;0;0;0;0;6;6;85089
2023;21;T;W;5 - 14;I;0;0;0;0;0;0;36114
2023;21;T;W;5 - 14;N;0;0;0;0;2;2;36114
2023;21;T;W;60 - 69;I;0;0;0;0;0;0;47861
2023;21;T;W;60 - 69;N;1;0;0;0;11;12;47861
2023;21;T;W;70 - 79;I;0;0;0;0;1;1;33698
2023;21;T;W;70 - 79;N;0;0;0;1;7;8;33698
2023;21;T;W;80+;I;0;0;0;0;0;0;26457
2023;21;T;W;80+;N;0;1;0;0;12;13;26457
2023;21;V;M;0 - 4;I;0;0;0;0;0;0;11185
2023;21;V;M;0 - 4;N;0;0;1;0;3;4;11185
2023;21;V;M;15 - 29;I;0;0;0;0;0;0;36552
2023;21;V;M;15 - 29;N;0;0;0;0;0;0;36552
2023;21;V;M;30 - 44;I;0;0;0;0;0;0;42070
2023;21;V;M;30 - 44;N;0;0;0;0;1;1;42070
2023;21;V;M;45 - 59;I;0;0;0;0;0;0;44152
2023;21;V;M;45 - 59;N;0;0;0;0;3;3;44152
2023;21;V;M;5 - 14;I;0;0;0;0;0;0;22093
2023;21;V;M;5 - 14;N;0;0;0;0;1;1;22093
2023;21;V;M;60 - 69;I;0;0;0;0;1;1;23065
2023;21;V;M;60 - 69;N;1;0;0;0;5;5;23065
2023;21;V;M;70 - 79;I;0;0;0;0;1;1;14368
2023;21;V;M;70 - 79;N;0;0;0;0;8;8;14368
2023;21;V;M;80+;I;0;0;0;0;1;1;8705
2023;21;V;M;80+;N;1;0;0;2;6;9;8705
2023;21;V;W;0 - 4;I;0;0;0;0;0;0;10440
2023;21;V;W;0 - 4;N;0;0;0;0;1;1;10440
2023;21;V;W;15 - 29;I;0;0;0;0;0;0;33321
2023;21;V;W;15 - 29;N;0;0;0;0;0;0;33321
2023;21;V;W;30 - 44;I;0;0;0;0;0;0;41244
2023;21;V;W;30 - 44;N;0;0;0;0;1;1;41244
2023;21;V;W;45 - 59;I;0;0;0;0;0;0;44009
2023;21;V;W;45 - 59;N;0;0;0;0;2;2;44009
2023;21;V;W;5 - 14;I;0;0;0;0;0;0;20807
2023;21;V;W;5 - 14;N;0;0;0;0;1;1;20807
2023;21;V;W;60 - 69;I;0;0;0;0;1;1;24272
2023;21;V;W;60 - 69;N;0;0;0;0;2;2;24272
2023;21;V;W;70 - 79;I;0;0;0;0;0;0;16760
2023;21;V;W;70 - 79;N;1;0;0;0;4;5;16760
2023;21;V;W;80+;I;0;0;0;0;0;0;13352
2023;21;V;W;80+;N;0;0;0;0;6;6;13352
2023;21;W;M;0 - 4;I;0;0;0;0;0;0;49761
2023;21;W;M;0 - 4;N;0;0;0;0;8;8;49761
2023;21;W;M;15 - 29;I;0;0;0;0;0;0;197815
2023;21;W;M;15 - 29;N;0;0;0;0;2;2;197815
