Gruppe;Datum;Genkopien pro EW / Tag * 10^6
Vorarlberg;2022-09-01;83.36
Vorarlberg;2022-09-02;84.34
Vorarlberg;2022-09-03;85.23
Vorarlberg;2022-09-04;81.95
Vorarlberg;2022-09-05;82.85
Vorarlberg;2022-09-06;83.93
Vorarlberg;2022-09-07;85.21
Vorarlberg;2022-09-08;86.74
Vorarlberg;2022-09-09;88.51
Vorarlberg;2022-09-10;90.54
Vorarlberg;2022-09-11;92.98
Vorarlberg;2022-09-12;95.91
Vorarlberg;2022-09-13;99.41
Vorarlberg;2022-09-14;103.58
Vorarlberg;2022-09-15;108.25
Vorarlberg;2022-09-16;113.35
Vorarlberg;2022-09-17;118.55
Vorarlberg;2022-09-18;123.81
Vorarlberg;2022-09-19;128.98
Vorarlberg;2022-09-20;134.1
Vorarlberg;2022-09-21;139.22
Vorarlberg;2022-09-22;144.42
Vorarlberg;2022-09-23;149.83
Vorarlberg;2022-09-24;155.53
Vorarlberg;2022-09-25;161.65
Vorarlberg;2022-09-26;168.39
Vorarlberg;2022-09-27;175.72
Vorarlberg;2022-09-28;183.58
Vorarlberg;2022-09-29;191.7
Vorarlberg;2022-09-30;199.73
Vorarlberg;2022-10-01;207.27
Vorarlberg;2022-10-02;213.92
Vorarlberg;2022-10-03;219.44
Vorarlberg;2022-10-04;223.77
Vorarlberg;2022-10-05;226.92
Vorarlberg;2022-10-06;228.85
Vorarlberg;2022-10-07;229.47
Vorarlberg;2022-10-08;228.66
Vorarlberg;2022-10-09;226.25
Vorarlberg;2022-10-10;222.21
Vorarlberg;2022-10-11;216.7
Vorarlberg;2022-10-12;210.11
Vorarlberg;2022-10-13;202.71
Vorarlberg;2022-10-14;194.83
Vorarlberg;2022-10-15;186.59
Vorarlberg;2022-10-16;178.23
Vorarlberg;2022-10-17;169.79
Vorarlberg;2022-10-18;161.56
Vorarlberg;2022-10-19;153.56
Vorarlberg;2022-10-20;145.79
Vorarlberg;2022-10-21;138.38
Vorarlberg;2022-10-22;131.21
Vorarlberg;2022-10-23;124.44
Vorarlberg;2022-10-24;118.13
Vorarlberg;2022-10-25;112.34
Vorarlberg;2022-10-26;106.99
Vorarlberg;2022-10-27;102.11
Vorarlberg;2022-10-28;97.61
Vorarlberg;2022-10-29;93.4
Vorarlberg;2022-10-30;89.5
Vorarlberg;2022-10-31;85.91
Vorarlberg;2022-11-01;82.7
Vorarlberg;2022-11-02;79.87
Vorarlberg;2022-11-03;77.43
Vorarlberg;2022-11-04;75.46
Vorarlberg;2022-11-05;74.0
Vorarlberg;2022-11-06;73.07
Vorarlberg;2022-11-07;72.85
Vorarlberg;2022-11-08;73.43
Vorarlberg;2022-11-09;74.77
Vorarlberg;2022-11-10;76.81
Vorarlberg;2022-11-11;79.39
Vorarlberg;2022-11-12;82.41
Vorarlberg;2022-11-13;85.75
Vorarlberg;2022-11-14;89.47
Vorarlberg;2022-11-15;93.54
Vorarlberg;2022-11-16;97.84
Vorarlberg;2022-11-17;102.29
Vorarlberg;2022-11-18;106.81
Vorarlberg;2022-11-19;111.28
Vorarlberg;2022-11-20;115.67
