Gruppe;Datum;Genkopien pro EW / Tag * 10^6
Vorarlberg;2022-09-01;83.4
Vorarlberg;2022-09-02;84.42
Vorarlberg;2022-09-03;85.27
Vorarlberg;2022-09-04;81.87
Vorarlberg;2022-09-05;82.75
Vorarlberg;2022-09-06;83.84
Vorarlberg;2022-09-07;85.16
Vorarlberg;2022-09-08;86.68
Vorarlberg;2022-09-09;88.41
Vorarlberg;2022-09-10;90.44
Vorarlberg;2022-09-11;92.87
Vorarlberg;2022-09-12;95.77
Vorarlberg;2022-09-13;99.27
Vorarlberg;2022-09-14;103.43
Vorarlberg;2022-09-15;108.14
Vorarlberg;2022-09-16;113.25
Vorarlberg;2022-09-17;118.46
Vorarlberg;2022-09-18;123.72
Vorarlberg;2022-09-19;128.86
Vorarlberg;2022-09-20;134.02
Vorarlberg;2022-09-21;139.13
Vorarlberg;2022-09-22;144.37
Vorarlberg;2022-09-23;149.76
Vorarlberg;2022-09-24;155.46
Vorarlberg;2022-09-25;161.6
Vorarlberg;2022-09-26;168.36
Vorarlberg;2022-09-27;175.73
Vorarlberg;2022-09-28;183.61
Vorarlberg;2022-09-29;191.78
Vorarlberg;2022-09-30;199.85
Vorarlberg;2022-10-01;207.43
Vorarlberg;2022-10-02;214.14
Vorarlberg;2022-10-03;219.69
Vorarlberg;2022-10-04;224.06
Vorarlberg;2022-10-05;227.22
Vorarlberg;2022-10-06;229.16
Vorarlberg;2022-10-07;229.76
Vorarlberg;2022-10-08;228.97
Vorarlberg;2022-10-09;226.55
Vorarlberg;2022-10-10;222.46
Vorarlberg;2022-10-11;216.94
Vorarlberg;2022-10-12;210.3
Vorarlberg;2022-10-13;202.85
Vorarlberg;2022-10-14;194.94
Vorarlberg;2022-10-15;186.68
Vorarlberg;2022-10-16;178.24
Vorarlberg;2022-10-17;169.82
Vorarlberg;2022-10-18;161.54
Vorarlberg;2022-10-19;153.51
Vorarlberg;2022-10-20;145.75
Vorarlberg;2022-10-21;138.29
Vorarlberg;2022-10-22;131.11
Vorarlberg;2022-10-23;124.32
Vorarlberg;2022-10-24;118.0
Vorarlberg;2022-10-25;112.19
Vorarlberg;2022-10-26;106.93
Vorarlberg;2022-10-27;102.03
Vorarlberg;2022-10-28;97.5
Vorarlberg;2022-10-29;93.26
Vorarlberg;2022-10-30;89.38
Vorarlberg;2022-10-31;85.79
Vorarlberg;2022-11-01;82.59
Vorarlberg;2022-11-02;79.73
Vorarlberg;2022-11-03;77.33
Vorarlberg;2022-11-04;75.35
Vorarlberg;2022-11-05;73.86
Vorarlberg;2022-11-06;72.94
Vorarlberg;2022-11-07;72.69
Vorarlberg;2022-11-08;73.3
Vorarlberg;2022-11-09;74.63
Vorarlberg;2022-11-10;76.66
Vorarlberg;2022-11-11;79.25
Vorarlberg;2022-11-12;82.26
Vorarlberg;2022-11-13;85.66
Vorarlberg;2022-11-14;89.38
Vorarlberg;2022-11-15;93.47
Vorarlberg;2022-11-16;97.78
Vorarlberg;2022-11-17;102.26
Vorarlberg;2022-11-18;106.77
Vorarlberg;2022-11-19;111.26
Vorarlberg;2022-11-20;115.64
Vorarlberg;2022-11-21;119.98
Vorarlberg;2022-11-22;124.27
Vorarlberg;2022-11-23;128.61
Vorarlberg;2022-11-24;132.94
Vorarlberg;2022-11-25;137.27
Vorarlberg;2022-11-26;141.57
Vorarlberg;2022-11-27;145.86
Vorarlberg;2022-11-28;150.01
Vorarlberg;2022-11-29;153.88
Vorarlberg;2022-11-30;157.4
Vorarlberg;2022-12-01;160.48
Vorarlberg;2022-12-02;163.23
Vorarlberg;2022-12-03;165.76
Vorarlberg;2022-12-04;168.21
Vorarlberg;2022-12-05;170.7
Vorarlberg;2022-12-06;173.32
Vorarlberg;2022-12-07;176.15
Vorarlberg;2022-12-08;179.02
Vorarlberg;2022-12-09;181.79
Vorarlberg;2022-12-10;184.3
Vorarlberg;2022-12-11;186.41
Vorarlberg;2022-12-12;188.14
Vorarlberg;2022-12-13;189.62
Vorarlberg;2022-12-14;191.1
Vorarlberg;2022-12-15;192.76
Vorarlberg;2022-12-16;194.49
Vorarlberg;2022-12-17;196.23
Vorarlberg;2022-12-18;197.78
Vorarlberg;2022-12-19;198.91
Vorarlberg;2022-12-20;199.42
Vorarlberg;2022-12-21;199.07
Vorarlberg;2022-12-22;197.89
Vorarlberg;2022-12-23;195.89
Vorarlberg;2022-12-24;193.16
Vorarlberg;2022-12-25;189.87
Vorarlberg;2022-12-26;185.94
Vorarlberg;2022-12-27;181.41
Vorarlberg;2022-12-28;176.29
Vorarlberg;2022-12-29;170.73
Vorarlberg;2022-12-30;164.76
Vorarlberg;2022-12-31;158.52
Vorarlberg;2023-01-01;152.04
Vorarlberg;2023-01-02;145.39
Vorarlberg;2023-01-03;138.76
Vorarlberg;2023-01-04;132.35
Vorarlberg;2023-01-05;126.2
Vorarlberg;2023-01-06;120.43
Vorarlberg;2023-01-07;115.09
Vorarlberg;2023-01-08;110.25
Vorarlberg;2023-01-09;106.03
Vorarlberg;2023-01-10;102.39
Vorarlberg;2023-01-11;99.23
Vorarlberg;2023-01-12;96.48
Vorarlberg;2023-01-13;94.15
Vorarlberg;2023-01-14;92.23
Vorarlberg;2023-01-15;90.85
Vorarlberg;2023-01-16;90.13
Vorarlberg;2023-01-17;90.11
Vorarlberg;2023-01-18;90.74
Vorarlberg;2023-01-19;91.97
Vorarlberg;2023-01-20;93.69
Vorarlberg;2023-01-21;95.9
Vorarlberg;2023-01-22;98.68
Vorarlberg;2023-01-23;102.06
Vorarlberg;2023-01-24;106.15
Vorarlberg;2023-01-25;110.91
Vorarlberg;2023-01-26;116.38
